Country,Proportion of undernourished in the population (%);1999,Proportion of undernourished in the population (%);2000,Proportion of undernourished in the population (%);2001,Proportion of undernourished in the population (%);2004,Proportion of undernourished in the population (%);2005,Proportion of undernourished in the population (%);2006,Proportion of undernourished in the population (%);2009,Proportion of undernourished in the population (%);2010,Proportion of undernourished in the population (%);2011,Proportion of undernourished in the population (%);2016,Proportion of undernourished in the population (%);2017,Proportion of undernourished in the population (%);2018,"Prevalence of wasting in
 children under five years (%);1998","Prevalence of wasting in
 children under five years (%);1999","Prevalence of wasting in
 children under five years (%);2000","Prevalence of wasting in
 children under five years (%);2001","Prevalence of wasting in
 children under five years (%);2002","Prevalence of wasting in
 children under five years (%);2003","Prevalence of wasting in
 children under five years (%);2004","Prevalence of wasting in
 children under five years (%);2005","Prevalence of wasting in
 children under five years (%);2006","Prevalence of wasting in
 children under five years (%);2007","Prevalence of wasting in
 children under five years (%);2008","Prevalence of wasting in
 children under five years (%);2009","Prevalence of wasting in
 children under five years (%);2010","Prevalence of wasting in
 children under five years (%);2011","Prevalence of wasting in
 children under five years (%);2012","Prevalence of wasting in
 children under five years (%);2014","Prevalence of wasting in
 children under five years (%);2015","Prevalence of wasting in
 children under five years (%);2016","Prevalence of wasting in
 children under five years (%);2017","Prevalence of wasting in
 children under five years (%);2018","Prevalence of stunting in
 children under five years (%);1998","Prevalence of stunting in
 children under five years (%);1999","Prevalence of stunting in
 children under five years (%);2000","Prevalence of stunting in
 children under five years (%);2001","Prevalence of stunting in
 children under five years (%);2002","Prevalence of stunting in
 children under five years (%);2003","Prevalence of stunting in
 children under five years (%);2004","Prevalence of stunting in
 children under five years (%);2005","Prevalence of stunting in
 children under five years (%);2006","Prevalence of stunting in
 children under five years (%);2007","Prevalence of stunting in
 children under five years (%);2008","Prevalence of stunting in
 children under five years (%);2009","Prevalence of stunting in
 children under five years (%);2010","Prevalence of stunting in
 children under five years (%);2011","Prevalence of stunting in
 children under five years (%);2012","Prevalence of stunting in
 children under five years (%);2014","Prevalence of stunting in
 children under five years (%);2015","Prevalence of stunting in
 children under five years (%);2016","Prevalence of stunting in
 children under five years (%);2017","Prevalence of stunting in
 children under five years (%);2018",Hunger Index;1998,Hunger Index;1999,Hunger Index;2000,Hunger Index;2001,Hunger Index;2002,Hunger Index;2003,Hunger Index;2004,Hunger Index;2005,Hunger Index;2006,Hunger Index;2007,Hunger Index;2008,Hunger Index;2009,Hunger Index;2010,Hunger Index;2011,Hunger Index;2012,Hunger Index;2014,Hunger Index;2015,Hunger Index;2016,Hunger Index;2017,Hunger Index;2018
Nigeria,9.3,9.3,9.3,6.5,6.5,6.5,6.2,6.2,6.2,13.4,13.4,13.4,17.6,17.6,17.6,17.6,17.6,12.3,12.3,12.3,12.3,12.3,11.6,11.6,11.6,11.6,11.6,7.1,7.1,7.1,7.1,7.1,39.7,39.7,39.7,39.7,39.7,40.9,40.9,40.9,40.9,40.9,35.8,35.8,35.8,35.8,35.8,37,37,37,37,37,40.8,40.8,40.8,40.8,40.8,34.2,34.2,34.2,34.2,34.2,29.9,29.9,29.9,29.9,29.9,27.9,27.9,27.9,27.9,27.9
North Korea,37.5,37.5,37.5,35.4,35.4,35.4,41.8,41.8,41.8,47.8,47.8,47.8,12.2,12.2,12.2,12.2,12.2,8.5,8.5,8.5,8.5,8.5,5.2,5.2,5.2,5.2,5.2,2.5,2.5,2.5,2.5,2.5,51,51,51,51,51,43.1,43.1,43.1,43.1,43.1,32.4,32.4,32.4,32.4,32.4,19.1,19.1,19.1,19.1,19.1,40.3,40.3,40.3,40.3,40.3,32.9,32.9,32.9,32.9,32.9,30.9,30.9,30.9,30.9,30.9,27.7,27.7,27.7,27.7,27.7
North Macedonia,7.9,7.9,7.9,6.1,6.1,6.1,4.4,4.4,4.4,3.2,3.2,3.2,1.7,1.7,1.7,1.7,1.7,3.4,3.4,3.4,3.4,3.4,4.3,4.3,4.3,4.3,4.3,2.5,2.5,2.5,2.5,2.5,8,8,8,8,8,11.3,11.3,11.3,11.3,11.3,7.7,7.7,7.7,7.7,7.7,6.6,6.6,6.6,6.6,6.6,7.7,7.7,7.7,7.7,7.7,8.5,8.5,8.5,8.5,8.5,7,7,7,7,7,5.6,5.6,5.6,5.6,5.6
Oman,11.9,11.9,11.9,10.5,10.5,10.5,5.6,5.6,5.6,6.8,6.8,6.8,7.3,7.3,7.3,7.3,7.3,10.9,10.9,10.9,10.9,10.9,7.1,7.1,7.1,7.1,7.1,7.5,7.5,7.5,7.5,7.5,12.9,12.9,12.9,12.9,12.9,16.5,16.5,16.5,16.5,16.5,9.8,9.8,9.8,9.8,9.8,14.1,14.1,14.1,14.1,14.1,13.7,13.7,13.7,13.7,13.7,15.6,15.6,15.6,15.6,15.6,9.8,9.8,9.8,9.8,9.8,11.4,11.4,11.4,11.4,11.4
Pakistan,23.4,23.4,23.4,23.3,23.3,23.3,21.1,21.1,21.1,20.3,20.3,20.3,14.2,14.2,14.2,14.2,14.2,13.4,13.4,13.4,13.4,13.4,14.8,14.8,14.8,14.8,14.8,7.1,7.1,7.1,7.1,7.1,41.5,41.5,41.5,41.5,41.5,43,43,43,43,43,43,43,43,43,43,37.6,37.6,37.6,37.6,37.6,38.3,38.3,38.3,38.3,38.3,37,37,37,37,37,35.9,35.9,35.9,35.9,35.9,28.5,28.5,28.5,28.5,28.5
Panama,27.7,27.7,27.7,22.9,22.9,22.9,13.2,13.2,13.2,10,10,10,1.5,1.5,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.2,1.2,1.2,1.2,1.2,1,1,1,1,1,22.3,22.3,22.3,22.3,22.3,23.7,23.7,23.7,23.7,23.7,19,19,19,19,19,12.6,12.6,12.6,12.6,12.6,20.2,20.2,20.2,20.2,20.2,18.3,18.3,18.3,18.3,18.3,12.6,12.6,12.6,12.6,12.6,9.2,9.2,9.2,9.2,9.2
Papua New Guinea,—,—,—,—,—,—,—,—,—,—,—,—,8.2,8.2,8.2,8.2,8.2,4.4,4.4,4.4,4.4,4.4,14.1,14.1,14.1,14.1,14.1,7.1,7.1,7.1,7.1,7.1,48,48,48,48,48,43.9,43.9,43.9,43.9,43.9,49.5,49.5,49.5,49.5,49.5,39.9,39.9,39.9,39.9,39.9,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Paraguay,12.9,12.9,12.9,11.9,11.9,11.9,12.2,12.2,12.2,10.7,10.7,10.7,2.1,2.1,2.1,2.1,2.1,1.1,1.1,1.1,1.1,1.1,2.6,2.6,2.6,2.6,2.6,1,1,1,1,1,17.6,17.6,17.6,17.6,17.6,17.5,17.5,17.5,17.5,17.5,10.7,10.7,10.7,10.7,10.7,5.6,5.6,5.6,5.6,5.6,14,14,14,14,14,12.6,12.6,12.6,12.6,12.6,11.6,11.6,11.6,11.6,11.6,8.3,8.3,8.3,8.3,8.3
Peru,21.8,21.8,21.8,19.6,19.6,19.6,11.2,11.2,11.2,9.7,9.7,9.7,1.1,1.1,1.1,1.1,1.1,1,1,1,1,1,0.7,0.7,0.7,0.7,0.7,0.5,0.5,0.5,0.5,0.5,31.3,31.3,31.3,31.3,31.3,29.2,29.2,29.2,29.2,29.2,23.3,23.3,23.3,23.3,23.3,12.9,12.9,12.9,12.9,12.9,20.9,20.9,20.9,20.9,20.9,18.2,18.2,18.2,18.2,18.2,12.5,12.5,12.5,12.5,12.5,8.8,8.8,8.8,8.8,8.8
Philippines,20.4,20.4,20.4,16.3,16.3,16.3,13.3,13.3,13.3,13.3,13.3,13.3,8,8,8,8,8,6,6,6,6,6,7.3,7.3,7.3,7.3,7.3,7.1,7.1,7.1,7.1,7.1,38.3,38.3,38.3,38.3,38.3,33.8,33.8,33.8,33.8,33.8,33.6,33.6,33.6,33.6,33.6,33.4,33.4,33.4,33.4,33.4,25.8,25.8,25.8,25.8,25.8,21.4,21.4,21.4,21.4,21.4,20.5,20.5,20.5,20.5,20.5,20.1,20.1,20.1,20.1,20.1
Qatar,—,—,—,—,—,—,—,—,—,—,—,—,2.7,2.7,2.7,2.7,2.7,2.2,2.2,2.2,2.2,2.2,1.6,1.6,1.6,1.6,1.6,1.2,1.2,1.2,1.2,1.2,2.1,2.1,2.1,2.1,2.1,1,1,1,1,1,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Romania,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,4.3,4.3,4.3,4.3,4.3,3,3,3,3,3,3,3,3,3,3,2.6,2.6,2.6,2.6,2.6,12.8,12.8,12.8,12.8,12.8,11.2,11.2,11.2,11.2,11.2,10.1,10.1,10.1,10.1,10.1,6.6,6.6,6.6,6.6,6.6,8.3,8.3,8.3,8.3,8.3,6.4,6.4,6.4,6.4,6.4,5.6,5.6,5.6,5.6,5.6,4,4,4,4,4
Russian Federation,5.1,5.1,5.1,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,4.6,4.6,4.6,4.6,4.6,3.9,3.9,3.9,3.9,3.9,3.6,3.6,3.6,3.6,3.6,3.9,3.9,3.9,3.9,3.9,16.1,16.1,16.1,16.1,16.1,13.2,13.2,13.2,13.2,13.2,12.3,12.3,12.3,12.3,12.3,10.7,10.7,10.7,10.7,10.7,10.3,10.3,10.3,10.3,10.3,7.5,7.5,7.5,7.5,7.5,6.4,6.4,6.4,6.4,6.4,5.8,5.8,5.8,5.8,5.8
Rwanda,55.5,55.5,55.5,44.5,44.5,44.5,34,34,34,36.8,36.8,36.8,8.7,8.7,8.7,8.7,8.7,4.9,4.9,4.9,4.9,4.9,2.9,2.9,2.9,2.9,2.9,2.1,2.1,2.1,2.1,2.1,47.9,47.9,47.9,47.9,47.9,51.4,51.4,51.4,51.4,51.4,44.3,44.3,44.3,44.3,44.3,37.6,37.6,37.6,37.6,37.6,56.6,56.6,56.6,56.6,56.6,44,44,44,44,44,32.4,32.4,32.4,32.4,32.4,29.1,29.1,29.1,29.1,29.1
Saudi Arabia,6.1,6.1,6.1,7.9,7.9,7.9,7,7,7,7.1,7.1,7.1,7.6,7.6,7.6,7.6,7.6,11.8,11.8,11.8,11.8,11.8,6,6,6,6,6,5.3,5.3,5.3,5.3,5.3,11.2,11.2,11.2,11.2,11.2,9.3,9.3,9.3,9.3,9.3,7.7,7.7,7.7,7.7,7.7,8.2,8.2,8.2,8.2,8.2,11.5,11.5,11.5,11.5,11.5,13.7,13.7,13.7,13.7,13.7,9.2,9.2,9.2,9.2,9.2,8.5,8.5,8.5,8.5,8.5
Senegal,28.7,28.7,28.7,21.6,21.6,21.6,13.1,13.1,13.1,11.3,11.3,11.3,10,10,10,10,10,8.7,8.7,8.7,8.7,8.7,9.8,9.8,9.8,9.8,9.8,9,9,9,9,9,26,26,26,26,26,19.9,19.9,19.9,19.9,19.9,26.6,26.6,26.6,26.6,26.6,16.5,16.5,16.5,16.5,16.5,36.3,36.3,36.3,36.3,36.3,27.5,27.5,27.5,27.5,27.5,23.6,23.6,23.6,23.6,23.6,17.9,17.9,17.9,17.9,17.9
Serbia,—,—,—,—,—,—,5.9,5.9,5.9,5.7,5.7,5.7,—,—,—,—,—,4.5,4.5,4.5,4.5,4.5,3.5,3.5,3.5,3.5,3.5,3.9,3.9,3.9,3.9,3.9,,,,,,8.1,8.1,8.1,8.1,8.1,6.6,6.6,6.6,6.6,6.6,6,6,6,6,6,—,—,—,—,—,—,—,—,—,—,6.7,6.7,6.7,6.7,6.7,6.5,6.5,6.5,6.5,6.5
Sierra Leone,39.6,39.6,39.6,37,37,37,27,27,27,25.6,25.6,25.6,11.6,11.6,11.6,11.6,11.6,10.2,10.2,10.2,10.2,10.2,8.8,8.8,8.8,8.8,8.8,5.1,5.1,5.1,5.1,5.1,35.5,35.5,35.5,35.5,35.5,45,45,45,45,45,38.5,38.5,38.5,38.5,38.5,26.4,26.4,26.4,26.4,26.4,53.6,53.6,53.6,53.6,53.6,51.1,51.1,51.1,51.1,51.1,40.8,40.8,40.8,40.8,40.8,30.4,30.4,30.4,30.4,30.4
Slovak Republic,5.9,5.9,5.9,6.2,6.2,6.2,4.3,4.3,4.3,3.4,3.4,3.4,3.8,3.8,3.8,3.8,3.8,2.9,2.9,2.9,2.9,2.9,2.8,2.8,2.8,2.8,2.8,2.4,2.4,2.4,2.4,2.4,7.5,7.5,7.5,7.5,7.5,4.2,4.2,4.2,4.2,4.2,3.7,3.7,3.7,3.7,3.7,3.3,3.3,3.3,3.3,3.3,7.3,7.3,7.3,7.3,7.3,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4
Somalia,—,—,—,—,—,—,—,—,—,—,—,—,19.3,19.3,19.3,19.3,19.3,13.3,13.3,13.3,13.3,13.3,15,15,15,15,15,—,—,—,—,—,29.2,29.2,29.2,29.2,29.2,42,42,42,42,42,25.3,25.3,25.3,25.3,25.3,,,,,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
South Africa,5,5,5,4.4,4.4,4.4,4.4,4.4,4.4,6.2,6.2,6.2,4.5,4.5,4.5,4.5,4.5,7.8,7.8,7.8,7.8,7.8,5.2,5.2,5.2,5.2,5.2,2.5,2.5,2.5,2.5,2.5,30.1,30.1,30.1,30.1,30.1,35.7,35.7,35.7,35.7,35.7,26.1,26.1,26.1,26.1,26.1,27.4,27.4,27.4,27.4,27.4,19.2,19.2,19.2,19.2,19.2,22.7,22.7,22.7,22.7,22.7,16.6,16.6,16.6,16.6,16.6,14,14,14,14,14
South Sudan,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,24.3,24.3,24.3,24.3,24.3,—,—,—,—,—,,,,,,,,,,,31.3,31.3,31.3,31.3,31.3,,,,,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Sri Lanka,18.6,18.6,18.6,18.2,18.2,18.2,13.8,13.8,13.8,9,9,9,15.5,15.5,15.5,15.5,15.5,14.7,14.7,14.7,14.7,14.7,11.8,11.8,11.8,11.8,11.8,15.1,15.1,15.1,15.1,15.1,18.4,18.4,18.4,18.4,18.4,17.3,17.3,17.3,17.3,17.3,19.2,19.2,19.2,19.2,19.2,17.3,17.3,17.3,17.3,17.3,22.4,22.4,22.4,22.4,22.4,21.2,21.2,21.2,21.2,21.2,18,18,18,18,18,17.1,17.1,17.1,17.1,17.1
Sudan,—,—,—,—,—,—,—,—,—,20.1,20.1,20.1,—,—,—,—,—,—,—,—,—,—,16.3,16.3,16.3,16.3,16.3,16.8,16.8,16.8,16.8,16.8,,,,,,,,,,,34.1,34.1,34.1,34.1,34.1,38.2,38.2,38.2,38.2,38.2,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,32.8,32.8,32.8,32.8,32.8
Suriname,13,13,13,10.9,10.9,10.9,8,8,8,8.5,8.5,8.5,7,7,7,7,7,4.9,4.9,4.9,4.9,4.9,5.8,5.8,5.8,5.8,5.8,5.5,5.5,5.5,5.5,5.5,14.1,14.1,14.1,14.1,14.1,10.6,10.6,10.6,10.6,10.6,8.8,8.8,8.8,8.8,8.8,9.6,9.6,9.6,9.6,9.6,16,16,16,16,16,12.5,12.5,12.5,12.5,12.5,11,11,11,11,11,10.8,10.8,10.8,10.8,10.8
Syrian Arab Republic,—,—,—,—,—,—,—,—,—,—,—,—,4.9,4.9,4.9,4.9,4.9,10.3,10.3,10.3,10.3,10.3,11.5,11.5,11.5,11.5,11.5,—,—,—,—,—,24.3,24.3,24.3,24.3,24.3,28.7,28.7,28.7,28.7,28.7,27.6,27.6,27.6,27.6,27.6,,,,,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Tajikistan,—,—,—,—,—,—,—,—,—,—,—,—,9.4,9.4,9.4,9.4,9.4,8.7,8.7,8.7,8.7,8.7,4.3,4.3,4.3,4.3,4.3,5.6,5.6,5.6,5.6,5.6,42.1,42.1,42.1,42.1,42.1,33,33,33,33,33,28.8,28.8,28.8,28.8,28.8,17.5,17.5,17.5,17.5,17.5,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Tanzania,36.5,36.5,36.5,34.4,34.4,34.4,34.6,34.6,34.6,30.7,30.7,30.7,5.6,5.6,5.6,5.6,5.6,3.6,3.6,3.6,3.6,3.6,4.9,4.9,4.9,4.9,4.9,4.5,4.5,4.5,4.5,4.5,48.3,48.3,48.3,48.3,48.3,44.4,44.4,44.4,44.4,44.4,42.1,42.1,42.1,42.1,42.1,34.5,34.5,34.5,34.5,34.5,42.2,42.2,42.2,42.2,42.2,35.9,35.9,35.9,35.9,35.9,34.1,34.1,34.1,34.1,34.1,28.6,28.6,28.6,28.6,28.6
Thailand,18.8,18.8,18.8,12.5,12.5,12.5,9.2,9.2,9.2,7.8,7.8,7.8,6.4,6.4,6.4,6.4,6.4,4.7,4.7,4.7,4.7,4.7,6.7,6.7,6.7,6.7,6.7,5.4,5.4,5.4,5.4,5.4,20.4,20.4,20.4,20.4,20.4,15.7,15.7,15.7,15.7,15.7,16.4,16.4,16.4,16.4,16.4,10.5,10.5,10.5,10.5,10.5,18.3,18.3,18.3,18.3,18.3,13.2,13.2,13.2,13.2,13.2,12.7,12.7,12.7,12.7,12.7,9.7,9.7,9.7,9.7,9.7
Timor-Leste,40.4,40.4,40.4,31.3,31.3,31.3,29.2,29.2,29.2,24.9,24.9,24.9,13.7,13.7,13.7,13.7,13.7,14.3,14.3,14.3,14.3,14.3,18.9,18.9,18.9,18.9,18.9,14.4,14.4,14.4,14.4,14.4,55.7,55.7,55.7,55.7,55.7,54.8,54.8,54.8,54.8,54.8,57.5,57.5,57.5,57.5,57.5,48.6,48.6,48.6,48.6,48.6,—,—,—,—,—,41.8,41.8,41.8,41.8,41.8,42.3,42.3,42.3,42.3,42.3,34.5,34.5,34.5,34.5,34.5
Togo,31.1,31.1,31.1,26,26,26,21,21,21,16.1,16.1,16.1,12.4,12.4,12.4,12.4,12.4,16.5,16.5,16.5,16.5,16.5,5.1,5.1,5.1,5.1,5.1,6.6,6.6,6.6,6.6,6.6,33.2,33.2,33.2,33.2,33.2,29.5,29.5,29.5,29.5,29.5,29.7,29.7,29.7,29.7,29.7,27.6,27.6,27.6,27.6,27.6,39.3,39.3,39.3,39.3,39.3,37,37,37,37,37,27.2,27.2,27.2,27.2,27.2,23.9,23.9,23.9,23.9,23.9
Trinidad & Tobago,11.6,11.6,11.6,11.8,11.8,11.8,9.6,9.6,9.6,5.5,5.5,5.5,5.2,5.2,5.2,5.2,5.2,5.8,5.8,5.8,5.8,5.8,6.4,6.4,6.4,6.4,6.4,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,6.7,6.7,6.7,6.7,6.7,9.2,9.2,9.2,9.2,9.2,5.7,5.7,5.7,5.7,5.7,12.1,12.1,12.1,12.1,12.1,12.9,12.9,12.9,12.9,12.9,12.7,12.7,12.7,12.7,12.7,9.1,9.1,9.1,9.1,9.1
Tunisia,4.9,4.9,4.9,5.6,5.6,5.6,4.8,4.8,4.8,4.3,4.3,4.3,2.9,2.9,2.9,2.9,2.9,3.4,3.4,3.4,3.4,3.4,3.3,3.3,3.3,3.3,3.3,2.1,2.1,2.1,2.1,2.1,16.8,16.8,16.8,16.8,16.8,9,9,9,9,9,10.1,10.1,10.1,10.1,10.1,8.3,8.3,8.3,8.3,8.3,10.7,10.7,10.7,10.7,10.7,8.6,8.6,8.6,8.6,8.6,7.9,7.9,7.9,7.9,7.9,6.2,6.2,6.2,6.2,6.2
Turkey,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,3,3,3,3,3,1.1,1.1,1.1,1.1,1.1,1,1,1,1,1,1.9,1.9,1.9,1.9,1.9,18.8,18.8,18.8,18.8,18.8,15.2,15.2,15.2,15.2,15.2,12.5,12.5,12.5,12.5,12.5,9.9,9.9,9.9,9.9,9.9,10.2,10.2,10.2,10.2,10.2,7.3,7.3,7.3,7.3,7.3,5.4,5.4,5.4,5.4,5.4,4,4,4,4,4
Turkmenistan,8.2,8.2,8.2,4.8,4.8,4.8,4.8,4.8,4.8,5.4,5.4,5.4,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,6.3,6.3,6.3,6.3,6.3,4.2,4.2,4.2,4.2,4.2,28.1,28.1,28.1,28.1,28.1,18.8,18.8,18.8,18.8,18.8,16.4,16.4,16.4,16.4,16.4,11.5,11.5,11.5,11.5,11.5,21.8,21.8,21.8,21.8,21.8,17.1,17.1,17.1,17.1,17.1,15,15,15,15,15,11.8,11.8,11.8,11.8,11.8
Uganda,27.7,27.7,27.7,24.1,24.1,24.1,30.9,30.9,30.9,41,41,41,5,5,5,5,5,6.2,6.2,6.2,6.2,6.2,4.6,4.6,4.6,4.6,4.6,3.5,3.5,3.5,3.5,3.5,44.9,44.9,44.9,44.9,44.9,38.3,38.3,38.3,38.3,38.3,33.4,33.4,33.4,33.4,33.4,28.9,28.9,28.9,28.9,28.9,38.9,38.9,38.9,38.9,38.9,33,33,33,33,33,30.8,30.8,30.8,30.8,30.8,30.6,30.6,30.6,30.6,30.6
Ukraine,4.5,4.5,4.5,42.5,42.5,42.5,42.5,42.5,42.5,3.5,3.5,3.5,8.2,8.2,8.2,8.2,8.2,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.3,22.9,22.9,22.9,22.9,22.9,8,8,8,8,8,7.4,7.4,7.4,7.4,7.4,6,6,6,6,6,13.7,13.7,13.7,13.7,13.7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Uruguay,4.2,4.2,4.2,4.3,4.3,4.3,42.5,42.5,42.5,42.5,42.5,42.5,2.3,2.3,2.3,2.3,2.3,3,3,3,3,3,1.3,1.3,1.3,1.3,1.3,1.9,1.9,1.9,1.9,1.9,12.8,12.8,12.8,12.8,12.8,13.9,13.9,13.9,13.9,13.9,10.7,10.7,10.7,10.7,10.7,8.8,8.8,8.8,8.8,8.8,7.7,7.7,7.7,7.7,7.7,8.1,8.1,8.1,8.1,8.1,5.4,5.4,5.4,5.4,5.4,4,4,4,4,4
Uzbekistan,16.2,16.2,16.2,14.5,14.5,14.5,9,9,9,6.3,6.3,6.3,9,9,9,9,9,4.4,4.4,4.4,4.4,4.4,5.8,5.8,5.8,5.8,5.8,5,5,5,5,5,24.9,24.9,24.9,24.9,24.9,19.6,19.6,19.6,19.6,19.6,18.1,18.1,18.1,18.1,18.1,12.9,12.9,12.9,12.9,12.9,23.6,23.6,23.6,23.6,23.6,17.8,17.8,17.8,17.8,17.8,14.7,14.7,14.7,14.7,14.7,10.7,10.7,10.7,10.7,10.7
Venezuela,16.4,16.4,16.4,10.5,10.5,10.5,3.1,3.1,3.1,21.2,21.2,21.2,3.9,3.9,3.9,3.9,3.9,4.8,4.8,4.8,4.8,4.8,4.1,4.1,4.1,4.1,4.1,3.5,3.5,3.5,3.5,3.5,17.4,17.4,17.4,17.4,17.4,16.2,16.2,16.2,16.2,16.2,13.4,13.4,13.4,13.4,13.4,13.3,13.3,13.3,13.3,13.3,15.2,15.2,15.2,15.2,15.2,12.7,12.7,12.7,12.7,12.7,8.4,8.4,8.4,8.4,8.4,16.9,16.9,16.9,16.9,16.9
Viet Nam,24.3,24.3,24.3,18.2,18.2,18.2,13.6,13.6,13.6,9.3,9.3,9.3,9,9,9,9,9,10.7,10.7,10.7,10.7,10.7,7.1,7.1,7.1,7.1,7.1,6.4,6.4,6.4,6.4,6.4,42.9,42.9,42.9,42.9,42.9,33.2,33.2,33.2,33.2,33.2,29.3,29.3,29.3,29.3,29.3,24.6,24.6,24.6,24.6,24.6,28.2,28.2,28.2,28.2,28.2,23.8,23.8,23.8,23.8,23.8,18.8,18.8,18.8,18.8,18.8,15.3,15.3,15.3,15.3,15.3
Yemen,29.9,29.9,29.9,30.1,30.1,30.1,25.7,25.7,25.7,38.9,38.9,38.9,15.9,15.9,15.9,15.9,15.9,15.2,15.2,15.2,15.2,15.2,13.3,13.3,13.3,13.3,13.3,17.9,17.9,17.9,17.9,17.9,53.9,53.9,53.9,53.9,53.9,57.7,57.7,57.7,57.7,57.7,46.6,46.6,46.6,46.6,46.6,61.1,61.1,61.1,61.1,61.1,43.2,43.2,43.2,43.2,43.2,41.7,41.7,41.7,41.7,41.7,34.5,34.5,34.5,34.5,34.5,45.9,45.9,45.9,45.9,45.9
Zambia,47.4,47.4,47.4,51.1,51.1,51.1,50,50,50,46.7,46.7,46.7,5,5,5,5,5,5.6,5.6,5.6,5.6,5.6,5.3,5.3,5.3,5.3,5.3,6.2,6.2,6.2,6.2,6.2,59.2,59.2,59.2,59.2,59.2,45.8,45.8,45.8,45.8,45.8,47.2,47.2,47.2,47.2,47.2,40,40,40,40,40,52.3,52.3,52.3,52.3,52.3,46,46,46,46,46,42.8,42.8,42.8,42.8,42.8,38.1,38.1,38.1,38.1,38.1
Zimbabwe,40.2,40.2,40.2,42.2,42.2,42.2,41.9,41.9,41.9,51.3,51.3,51.3,8.3,8.3,8.3,8.3,8.3,7.3,7.3,7.3,7.3,7.3,3.5,3.5,3.5,3.5,3.5,3.3,3.3,3.3,3.3,3.3,33.8,33.8,33.8,33.8,33.8,35.3,35.3,35.3,35.3,35.3,33.6,33.6,33.6,33.6,33.6,27.1,27.1,27.1,27.1,27.1,39.1,39.1,39.1,39.1,39.1,39.6,39.6,39.6,39.6,39.6,35.8,35.8,35.8,35.8,35.8,34.4,34.4,34.4,34.4,34.4
