Country,country_code,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995
Greece,GRC,45,48,44,46,43,40,36,33.88967,35,38,47,46,44,43,43,43,42,42,49,49,49,54,50.1,40.4
Montenegro,MNE,45,46,45,44,42,44,41,39.69978,37,39,34,33,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,SEN,45,45,45,44,43,41,36,28.70529,29,30,34,36,33,32,30,32,31,29,35,34,33,0,0,0
Belarus,BLR,44,44,40,32,31,29,31,24.18323,25,24,20,21,21,26,33,42,48,0,41,34,39,0,0,0
Jamaica,JAM,44,44,39,41,38,38,38,33.41237,33,30,31,33,37,36,33,38,40,0,0,38,38,0,0,0
Solomon Islands,SLB,44,39,42,,,,,27.06382,28,28,29,28,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,MAR,43,40,37,36,39,37,37,34.43408,34,33,35,35,32,32,32,33,37,0,47,41,37,0,0,0
South Africa,ZAF,43,43,45,44,44,42,43,40.80277,45,47,49,51,46,45,46,44,48,48,50,50,52,50,56.8,56.2
Suriname,SUR,43,41,45,36,36,36,37,30.286,0,37,36,35,30,32,43,0,0,0,0,0,0,0,0,0
Tunisia,TUN,43,42,41,38,40,41,41,37.59299,43,42,44,42,46,49,50,49,48,53,52,50,50,0,0,0
Bulgaria,BGR,42,43,41,41,43,41,41,33.28966,36,38,36,41,40,40,41,39,40,39,35,33,29,0,0,0
Burkina Faso,BFA,41,42,42,38,38,38,38,30.46324,31,36,35,29,32,34,0,0,0,0,30,0,0,0,0,0
Ghana,GHA,41,40,43,47,48,46,45,38.5076,41,39,39,37,33,35,36,33,39,34,35,33,33,0,0,0
India,IND,41,40,40,38,38,36,36,30.99087,33,34,34,35,33,29,28,28,27,27,28,29,29,28,26.3,27.8
Kuwait,KWT,41,39,41,49,44,43,44,46.16031,45,41,43,43,48,47,46,53,0,0,0,0,0,0,0,0
Lesotho,LSO,41,42,39,44,49,49,45,35.16105,35,33,32,33,32,34,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,TTO,41,41,35,39,38,38,39,31.70273,36,36,36,34,32,38,42,46,49,53,0,0,0,0,0,0
Turkey,TUR,41,40,41,42,45,50,49,42.06861,44,44,46,41,38,35,32,31,32,36,38,36,34,32,35.4,41
Argentina,ARG,40,39,36,32,34,34,35,29.96074,29,29,29,29,29,28,25,25,28,35,35,30,30,28,34.1,52.4
Benin,BEN,40,39,36,37,39,36,36,29.6985,28,29,31,27,25,29,32,0,0,0,0,0,0,0,0,0
China,CHN,39,41,40,37,36,40,39,36.35573,35,36,36,35,33,32,34,34,35,35,31,34,35,29,24.3,21.6
Serbia,SRB,39,41,42,40,41,42,39,33.12795,35,35,34,34,30,28,27,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,BIH,38,38,39,38,39,42,42,32.07211,32,30,32,33,29,29,31,33,0,0,0,0,0,0,0,0
Indonesia,IDN,38,37,37,36,34,32,32,30.2781,28,28,26,23,24,22,20,19,19,19,17,17,20,27,26.5,19.4
Sri Lanka,LKA,38,38,36,37,38,37,40,32.95176,32,31,32,32,31,32,35,34,37,0,0,0,0,0,0,0
Swaziland,SWZ,38,39,,,43,39,37,30.81774,32,36,36,33,25,27,0,0,0,0,0,0,0,0,0,0
Gambia,GMB,37,30,26,28,29,28,34,35.11906,32,29,19,23,25,27,28,25,0,0,0,0,0,0,0,0
Guyana,GUY,37,38,34,29,30,27,28,24.87627,27,26,26,26,25,25,0,0,0,0,0,0,0,0,0,0
Kosovo,KSV,37,39,36,33,33,33,34,28.51413,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macedonia,MKD,37,35,37,42,45,44,43,39.42666,41,38,36,33,27,27,27,23,0,0,0,33,0,0,0,0
Mongolia,MNG,37,36,38,39,39,38,36,26.76712,27,27,30,30,28,30,30,0,0,0,0,43,0,0,0,0
Panama,PAN,37,37,38,39,37,35,38,32.66199,36,34,34,32,31,35,37,34,30,37,0,0,0,0,0,0
Albania,ALB,36,38,39,36,33,31,33,30.52946,33,32,34,29,26,24,25,25,25,0,0,23,0,0,0,0
Bahrain,BHR,36,36,43,51,49,48,51,51.09879,49,51,54,50,57,58,58,61,0,0,0,0,0,0,0,0
Colombia,COL,36,37,37,37,37,36,36,34.46674,35,37,38,38,39,40,38,37,36,38,32,29,22,22,27.3,34.4
Philippines,PHL,36,34,35,35,38,36,34,26.44299,24,24,23,25,25,25,26,25,26,29,28,36,33,31,26.9,27.7
Tanzania,TZA,36,36,32,30,31,33,35,29.50526,27,26,30,32,29,29,28,25,27,22,25,19,19,0,0,0
Thailand,THA,36,37,35,38,38,35,37,33.81004,35,34,35,33,36,38,36,33,32,32,32,32,30,31,33.3,27.9
Algeria,DZA,35,33,34,36,36,36,34,29.04377,29,28,32,30,31,28,27,26,0,0,0,0,0,0,0,0
Armenia,ARM,35,35,33,35,37,36,34,26.28996,26,27,29,30,29,29,31,30,0,0,25,25,0,0,0,0
Brazil,BRA,35,37,40,38,43,42,43,37.7411,37,37,35,35,33,37,39,39,40,40,39,41,40,36,29.6,27
Cote d'Ivoire,CIV,35,36,34,32,32,27,29,22.33704,22,21,20,21,21,19,20,0,0,0,0,0,0,0,0,0
Egypt,EGY,35,32,34,36,37,32,32,28.62187,31,28,28,29,33,34,32,33,34,36,31,33,29,0,28.4,0
El Salvador,SLV,35,33,36,39,39,38,38,34.24892,36,34,39,40,40,42,42,37,34,36,41,39,36,0,0,0
Peru,PER,35,37,35,36,38,38,38,33.85607,35,37,36,35,33,35,35,37,40,41,44,45,45,0,0,0
Timor-Leste,TLS,35,38,35,28,28,30,33,23.76135,25,22,22,26,26,0,0,0,0,0,0,0,0,0,0,0
Zambia,ZMB,35,37,38,38,38,38,37,31.95245,30,30,28,26,26,26,26,25,26,26,34,35,35,0,0,0
Ecuador,ECU,34,32,31,32,33,35,32,26.50216,25,22,20,21,23,25,24,22,22,23,26,24,23,0,31.9,0
Ethiopia,ETH,34,35,34,33,33,33,33,26.90912,27,27,26,24,24,22,23,25,35,0,32,0,0,0,0,0
Niger,NER,34,33,35,34,35,34,33,25.40459,26,29,28,26,23,24,22,0,0,0,0,0,0,0,0,0
Moldova,MDA,33,31,30,33,35,35,36,28.78946,29,33,29,28,32,29,23,24,21,31,26,26,0,0,0,0
Pakistan,PAK,33,32,32,30,29,28,27,24.67952,23,24,25,24,22,21,21,25,26,23,0,22,27,23,10,22.5
Vietnam,VNM,33,35,33,31,31,31,31,28.64383,27,27,27,26,26,26,26,24,24,26,25,26,25,28,0,0
Liberia,LBR,32,31,37,37,37,38,41,31.88795,33,31,24,21,0,22,0,0,0,0,0,0,0,0,0,0
Malawi,MWI,32,31,31,31,33,37,37,30.02285,34,33,28,27,27,28,28,28,29,32,41,41,41,0,0,0
Mali,MLI,32,31,32,35,32,28,34,27.58701,27,28,31,27,28,29,32,30,0,0,0,0,0,0,0,0
Ukraine,UKR,32,30,29,27,26,25,26,22.96875,24,22,25,27,28,26,22,23,24,21,15,26,28,0,0,0
Djibouti,DJI,31,31,30,34,34,36,36,29.8107,32,28,30,29,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,GAB,31,32,35,34,37,34,35,29.83002,28,29,31,33,30,29,33,0,0,0,0,0,0,0,0,0
Kazakhstan,KAZ,31,31,29,28,29,26,28,26.93975,29,27,22,21,26,26,22,24,23,27,30,23,0,0,0,0
Maldives,MDV,31,33,36,,,,,24.70782,23,25,28,33,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,NPL,31,31,29,27,29,31,27,22.11227,22,23,27,25,25,25,28,0,0,0,0,0,0,0,0,0
Dominican Republic,DOM,30,29,31,33,32,29,32,25.89769,30,30,30,30,28,30,29,33,35,31,0,0,0,0,0,0
Sierra Leone,SLE,30,30,30,29,31,30,31,24.60909,24,22,19,21,22,24,23,22,0,0,0,0,0,0,0,0
Togo,TGO,30,32,32,32,29,29,30,23.82138,24,28,27,23,24,0,0,0,0,0,0,0,0,0,0,0
Bolivia,BOL,29,33,33,34,35,34,34,27.63231,28,27,30,29,27,25,22,23,22,20,27,25,28,21,34,0
Honduras,HND,29,29,30,31,29,26,28,25.91903,24,25,26,25,25,26,23,23,27,27,0,18,17,0,0,0
Kyrgyzstan,KGZ,29,29,28,28,27,24,24,21.19878,20,19,18,21,22,23,22,21,0,0,0,22,0,0,0,0
Laos,LAO,29,29,30,25,25,26,21,22.13967,21,20,20,19,26,33,0,0,0,0,0,0,0,0,0,0
Myanmar,MMR,29,30,28,22,21,21,15,14.90296,14,14,13,14,19,18,17,16,0,0,0,0,0,0,0,0
Paraguay,PRY,29,29,30,27,24,24,25,22.17671,22,21,24,24,26,21,19,16,17,0,0,20,15,0,0,0
Guinea,GIN,28,27,27,25,25,24,24,21.10293,20,18,16,19,19,0,0,0,0,0,0,0,0,0,0,0
Iran,IRN,28,30,29,27,27,25,28,27.20371,22,18,23,25,27,29,29,30,0,0,0,0,0,0,0,0
Lebanon,LBN,28,28,28,28,27,28,30,24.86844,25,25,30,30,36,31,27,30,0,0,0,0,0,0,0,0
Mexico,MEX,28,29,30,31,35,34,34,29.70855,31,33,36,35,33,35,36,36,36,37,33,34,33,27,33,31.8
Papua New Guinea,PNG,28,29,28,25,25,25,25,21.65489,21,21,20,20,24,23,26,21,0,0,0,0,0,0,0,0
Russia,RUS,28,29,29,29,27,28,28,24.48757,21,22,21,23,25,24,28,27,27,23,21,24,24,23,25.8,0
Comoros,COM,27,27,24,26,26,28,28,24.10707,21,23,25,26,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,GTM,27,28,28,28,32,29,33,27.27781,32,34,31,28,26,25,22,24,25,29,0,32,31,0,0,0
Kenya,KEN,27,28,26,25,25,27,27,22.4349,21,22,21,21,22,21,21,19,19,20,21,20,25,0,22.1,0
Mauritania,MRT,27,28,27,31,30,30,31,24.27348,23,25,28,26,31,0,0,0,0,0,0,0,0,0,0,0
Nigeria,NGA,27,27,28,26,27,25,27,24.49336,24,25,27,22,22,19,16,14,16,10,12,16,19,18,6.9,0
Bangladesh,BGD,26,28,26,25,25,27,26,26.56912,24,24,21,20,20,17,15,13,12,4,0,0,0,0,22.9,0
Central African Republic,CAF,26,23,20,24,24,25,26,22.10424,21,20,20,20,24,0,0,0,0,0,0,0,0,0,0,0
Uganda,UGA,26,26,25,25,26,26,29,24.33897,25,25,26,28,27,25,26,22,21,19,23,22,26,0,27.1,0
Azerbaijan,AZE,25,31,30,29,29,28,27,23.75235,24,23,19,21,24,22,19,18,20,20,15,17,0,0,0,0
Cameroon,CMR,25,25,26,27,27,25,26,24.52247,22,22,23,24,23,22,21,18,22,20,20,15,14,0,24.6,0
Madagascar,MDG,25,24,26,28,28,28,32,30.40804,26,30,34,32,31,28,31,26,17,0,0,0,0,0,0,0
Nicaragua,NIC,25,26,26,27,28,28,29,25.29546,25,25,25,26,26,26,27,26,25,24,0,31,30,0,0,0
Tajikistan,TJK,25,21,25,26,23,22,22,22.71689,21,20,20,21,22,21,20,18,0,0,0,0,0,0,0,0
Eritrea,ERI,24,20,18,18,18,20,25,24.75597,26,26,26,28,29,26,26,0,0,0,0,0,0,0,0,0
Mozambique,MOZ,23,25,27,31,31,30,31,26.87722,27,25,26,28,28,28,28,27,0,0,22,35,0,0,0,0
Uzbekistan,UZB,23,22,21,19,18,17,17,16.24563,16,17,18,17,21,22,23,24,29,27,24,18,0,0,0,0
Zimbabwe,ZWE,22,22,22,21,21,21,20,22.29767,24,22,18,21,24,26,23,23,27,29,30,41,42,0,0,0
Cambodia,KHM,20,21,21,21,21,20,22,21.10559,21,20,18,20,21,23,0,0,0,0,0,0,0,0,0,0
Democratic Republic of the Congo,COD,20,21,21,22,22,22,21,20.21067,20,19,17,19,20,21,20,0,0,0,0,0,0,0,0,0
Haiti,HTI,20,22,20,17,19,19,19,17.99883,22,18,14,16,18,18,15,15,22,0,0,0,0,0,0,0
Turkmenistan,TKM,20,19,22,18,17,17,17,16.03173,16,18,18,20,22,18,20,0,0,0,0,0,0,0,0,0
Angola,AGO,19,19,18,15,19,23,22,20.05035,19,19,19,22,22,20,20,18,17,0,17,0,0,0,0,0
Chad,TCD,19,20,20,22,22,19,19,20.40463,17,16,16,18,20,17,17,0,0,0,0,0,0,0,0,0
Congo,COG,19,21,20,23,23,22,26,21.54337,21,19,19,21,22,23,23,22,0,0,0,0,0,0,0,0
Iraq,IRQ,18,18,17,16,16,16,18,18.04128,15,15,13,15,19,22,21,22,0,0,0,0,0,0,0,0
Venezuela,VEN,18,18,17,17,19,20,19,18.89497,20,19,19,20,23,23,23,24,25,28,27,26,23,28,25,26.6
Burundi,BDI,17,22,20,21,20,21,19,19.35236,18,18,19,25,24,23,0,0,0,0,0,0,0,0,0,0
Libya,LBY,17,17,14,16,18,15,21,20.1449,22,25,26,25,27,25,25,21,0,0,0,0,0,0,0,0
Afghanistan,AFG,16,15,15,11,12,8,8,15.17093,14,13,15,18,0,25,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea,GNQ,16,17,,,,19,20,19.12177,19,18,17,19,21,19,0,0,0,0,0,0,0,0,0,0
Guinea Bissau,GNB,16,17,16,17,19,19,25,22.01865,21,19,19,22,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,SDN,16,16,14,12,11,11,13,15.63758,16,15,16,18,20,21,22,23,0,0,0,0,0,0,0,0
"Korea, North",PRK,14,17,12,8,8,8,8,10.09626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen,YEM,14,16,14,18,19,18,23,20.80347,22,21,23,25,26,27,24,26,0,0,0,0,0,0,0,0
South Sudan,SSD,13,12,11,15,15,14,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syria,SYR,13,14,13,18,20,17,26,25.57818,25,26,21,24,29,34,34,34,0,0,0,0,0,0,0,0
Somalia,SOM,10,9,10,8,8,8,8,9.834057,11,11,10,14,0,21,0,0,0,0,0,0,0,0,0,0
