,Year,Series,Value
Middle Africa,2005,International migrant stock: Both sexes (% total population),1.7229
Middle Africa,2005,International migrant stock: Male (% total Population),1.7708
Middle Africa,2005,International migrant stock: Female (% total Population),1.6756
Middle Africa,2010,International migrant stock: Both sexes (number),2139979
Middle Africa,2010,International migrant stock: Both sexes (% total population),1.6292
Middle Africa,2010,International migrant stock: Male (% total Population),1.6716
Middle Africa,2010,International migrant stock: Female (% total Population),1.5873
Middle Africa,2015,International migrant stock: Both sexes (number),3436978
Middle Africa,2015,International migrant stock: Both sexes (% total population),2.2355
Middle Africa,2015,International migrant stock: Male (% total Population),2.3111
Middle Africa,2015,International migrant stock: Female (% total Population),2.1606
Middle Africa,2017,International migrant stock: Both sexes (number),3539697
Middle Africa,2017,International migrant stock: Both sexes (% total population),2.165
Middle Africa,2017,International migrant stock: Male (% total Population),2.2408
Middle Africa,2017,International migrant stock: Female (% total Population),2.0897
Southern Africa,2005,International migrant stock: Both sexes (number),1439426
Southern Africa,2005,International migrant stock: Both sexes (% total population),2.5813
Southern Africa,2005,International migrant stock: Male (% total Population),3.0615
Southern Africa,2005,International migrant stock: Female (% total Population),2.1193
Southern Africa,2010,International migrant stock: Both sexes (number),2357093
Southern Africa,2010,International migrant stock: Both sexes (% total population),3.994
Southern Africa,2010,International migrant stock: Male (% total Population),4.6882
Southern Africa,2010,International migrant stock: Female (% total Population),3.3256
Southern Africa,2015,International migrant stock: Both sexes (number),4112793
Southern Africa,2015,International migrant stock: Both sexes (% total population),6.485
Southern Africa,2015,International migrant stock: Male (% total Population),7.3353
Southern Africa,2015,International migrant stock: Female (% total Population),5.6662
Southern Africa,2017,International migrant stock: Both sexes (number),4338205
Southern Africa,2017,International migrant stock: Both sexes (% total population),6.6595
Southern Africa,2017,International migrant stock: Male (% total Population),7.5359
Southern Africa,2017,International migrant stock: Female (% total Population),5.816
Western Africa,2005,International migrant stock: Both sexes (number),5616321
Western Africa,2005,International migrant stock: Both sexes (% total population),2.0909
Western Africa,2005,International migrant stock: Male (% total Population),2.2427
Western Africa,2005,International migrant stock: Female (% total Population),1.9379
Western Africa,2010,International migrant stock: Both sexes (number),5959501
Western Africa,2010,International migrant stock: Both sexes (% total population),1.9363
Western Africa,2010,International migrant stock: Male (% total Population),2.0765
Western Africa,2010,International migrant stock: Female (% total Population),1.7948
Western Africa,2015,International migrant stock: Both sexes (number),6610620
Western Africa,2015,International migrant stock: Both sexes (% total population),1.8747
Western Africa,2015,International migrant stock: Male (% total Population),1.9889
Western Africa,2015,International migrant stock: Female (% total Population),1.7593
Western Africa,2017,International migrant stock: Both sexes (number),6770466
Western Africa,2017,International migrant stock: Both sexes (% total population),1.8201
Western Africa,2017,International migrant stock: Male (% total Population),1.9282
Western Africa,2017,International migrant stock: Female (% total Population),1.7105
Northern America,2005,International migrant stock: Both sexes (number),45363387
Northern America,2005,International migrant stock: Both sexes (% total population),13.8495
Northern America,2005,International migrant stock: Male (% total Population),13.9476
Northern America,2005,International migrant stock: Female (% total Population),13.7645
Northern America,2010,International migrant stock: Both sexes (number),50970996
Northern America,2010,International migrant stock: Both sexes (% total population),14.8631
Northern America,2010,International migrant stock: Male (% total Population),14.7253
Northern America,2010,International migrant stock: Female (% total Population),15.0086
Northern America,2015,International migrant stock: Both sexes (number),55766224
Northern America,2015,International migrant stock: Both sexes (% total population),15.6645
Northern America,2015,International migrant stock: Male (% total Population),15.3595
Northern America,2015,International migrant stock: Female (% total Population),15.9742
Northern America,2015,Total refugees and people in refugee-like situations (number),416385
Northern America,2015,"Asylum seekers, including pending cases (number)",238989
Northern America,2015,Total population of concern to UNHCR (number),655374
Northern America,2017,International migrant stock: Both sexes (number),57664154
Northern America,2017,International migrant stock: Both sexes (% total population),15.9643
Northern America,2017,International migrant stock: Male (% total Population),15.6453
Northern America,2017,International migrant stock: Female (% total Population),16.2878
Northern America,2017,Total refugees and people in refugee-like situations (number),380675
Northern America,2017,"Asylum seekers, including pending cases (number)",725314
Northern America,2017,Total population of concern to UNHCR (number),1105989
Northern America,2018,Total refugees and people in refugee-like situations (number),409776
Northern America,2018,"Asylum seekers, including pending cases (number)",721060
Northern America,2018,Other of concern to UNHCR (number),3790
Northern America,2018,Total population of concern to UNHCR (number),1134626
Latin America & the Caribbean,2005,International migrant stock: Both sexes (number),7237476
Latin America & the Caribbean,2005,International migrant stock: Both sexes (% total population),1.2886
Latin America & the Caribbean,2005,International migrant stock: Male (% total Population),1.2942
Latin America & the Caribbean,2005,International migrant stock: Female (% total Population),1.2844
Latin America & the Caribbean,2010,International migrant stock: Both sexes (number),8246652
Latin America & the Caribbean,2010,International migrant stock: Both sexes (% total population),1.3801
Latin America & the Caribbean,2010,International migrant stock: Male (% total Population),1.3858
Latin America & the Caribbean,2010,International migrant stock: Female (% total Population),1.3758
Latin America & the Caribbean,2015,International migrant stock: Both sexes (number),9272027
Latin America & the Caribbean,2015,International migrant stock: Both sexes (% total population),1.4662
Latin America & the Caribbean,2015,International migrant stock: Male (% total Population),1.4728
Latin America & the Caribbean,2015,International migrant stock: Female (% total Population),1.4613
Latin America & the Caribbean,2015,Total refugees and people in refugee-like situations (number),336552
Latin America & the Caribbean,2015,"Asylum seekers, including pending cases (number)",37378
Latin America & the Caribbean,2015,Other of concern to UNHCR (number),6697290
Latin America & the Caribbean,2015,Total population of concern to UNHCR (number),7071220
Latin America & the Caribbean,2017,International migrant stock: Both sexes (number),9508189
Latin America & the Caribbean,2017,International migrant stock: Both sexes (% total population),1.4728
Latin America & the Caribbean,2017,International migrant stock: Male (% total Population),1.4797
Latin America & the Caribbean,2017,International migrant stock: Female (% total Population),1.4676
Latin America & the Caribbean,2017,Total refugees and people in refugee-like situations (number),323973
Latin America & the Caribbean,2017,"Asylum seekers, including pending cases (number)",117507
Latin America & the Caribbean,2017,Other of concern to UNHCR (number),7774202
Latin America & the Caribbean,2017,Total population of concern to UNHCR (number),8215682
Latin America & the Caribbean,2018,Total refugees and people in refugee-like situations (number),255038
Latin America & the Caribbean,2018,"Asylum seekers, including pending cases (number)",326870
Latin America & the Caribbean,2018,Other of concern to UNHCR (number),8676855
Latin America & the Caribbean,2018,Total population of concern to UNHCR (number),9258763
Caribbean,2005,International migrant stock: Both sexes (number),1333118
Caribbean,2005,International migrant stock: Both sexes (% total population),3.3232
Caribbean,2005,International migrant stock: Male (% total Population),3.4586
Caribbean,2005,International migrant stock: Female (% total Population),3.2367
Caribbean,2010,International migrant stock: Both sexes (number),1353589
Caribbean,2010,International migrant stock: Both sexes (% total population),3.2441
Caribbean,2010,International migrant stock: Male (% total Population),3.3774
Caribbean,2010,International migrant stock: Female (% total Population),3.1613
Caribbean,2015,International migrant stock: Both sexes (number),1385784
Caribbean,2015,International migrant stock: Both sexes (% total population),3.1997
Caribbean,2015,International migrant stock: Male (% total Population),3.3398
Caribbean,2015,International migrant stock: Female (% total Population),3.1118
Caribbean,2017,International migrant stock: Both sexes (number),1399747
Caribbean,2017,International migrant stock: Both sexes (% total population),3.1897
Caribbean,2017,International migrant stock: Male (% total Population),3.3354
Caribbean,2017,International migrant stock: Female (% total Population),3.0968
Central America,2005,International migrant stock: Both sexes (number),1385713
Central America,2005,International migrant stock: Both sexes (% total population),0.935
Central America,2005,International migrant stock: Male (% total Population),0.9414
Central America,2005,International migrant stock: Female (% total Population),0.9286
Central America,2010,International migrant stock: Both sexes (number),1749940
Central America,2010,International migrant stock: Both sexes (% total population),1.0899
Central America,2010,International migrant stock: Male (% total Population),1.0976
Central America,2010,International migrant stock: Female (% total Population),1.0824
Central America,2015,International migrant stock: Both sexes (number),2043212
Central America,2015,International migrant stock: Both sexes (% total population),1.1835
Central America,2015,International migrant stock: Male (% total Population),1.1935
Central America,2015,International migrant stock: Female (% total Population),1.1738
Central America,2017,International migrant stock: Both sexes (number),2092819
Central America,2017,International migrant stock: Both sexes (% total population),1.1803
Central America,2017,International migrant stock: Male (% total Population),1.1903
Central America,2017,International migrant stock: Female (% total Population),1.1704
South America,2005,International migrant stock: Both sexes (number),4518645
South America,2005,International migrant stock: Both sexes (% total population),1.2104
South America,2005,International migrant stock: Male (% total Population),1.2032
South America,2005,International migrant stock: Female (% total Population),1.2174
South America,2010,International migrant stock: Both sexes (number),5143123
South America,2010,International migrant stock: Both sexes (% total population),1.3011
South America,2010,International migrant stock: Male (% total Population),1.2943
South America,2010,International migrant stock: Female (% total Population),1.3079
South America,2015,International migrant stock: Both sexes (number),5843031
South America,2015,International migrant stock: Both sexes (% total population),1.4031
South America,2015,International migrant stock: Male (% total Population),1.396
South America,2015,International migrant stock: Female (% total Population),1.4101
South America,2017,International migrant stock: Both sexes (number),6015623
South America,2017,International migrant stock: Both sexes (% total population),1.4175
South America,2017,International migrant stock: Male (% total Population),1.4104
South America,2017,International migrant stock: Female (% total Population),1.4243
Asia,2005,International migrant stock: Both sexes (number),53243730
Asia,2005,International migrant stock: Both sexes (% total population),1.3431
Asia,2005,International migrant stock: Male (% total Population),1.4382
Asia,2005,International migrant stock: Female (% total Population),1.2436
Asia,2010,International migrant stock: Both sexes (number),65921788
Asia,2010,International migrant stock: Both sexes (% total population),1.5717
Asia,2010,International migrant stock: Male (% total Population),1.7599
Asia,2010,International migrant stock: Female (% total Population),1.3744
Asia,2015,International migrant stock: Both sexes (number),76558152
Asia,2015,International migrant stock: Both sexes (% total population),1.7321
Asia,2015,International migrant stock: Male (% total Population),1.9399
Asia,2015,International migrant stock: Female (% total Population),1.5145
Asia,2015,Total refugees and people in refugee-like situations (number),8178380
Asia,2015,"Asylum seekers, including pending cases (number)",320437
Asia,2015,Other of concern to UNHCR (number),19921907
Asia,2015,Total population of concern to UNHCR (number),28420724
Asia,2017,International migrant stock: Both sexes (number),79586709
Asia,2017,International migrant stock: Both sexes (% total population),1.7669
Asia,2017,International migrant stock: Male (% total Population),1.9895
Asia,2017,International migrant stock: Female (% total Population),1.5336
Asia,2017,Total refugees and people in refugee-like situations (number),9067704
Asia,2017,"Asylum seekers, including pending cases (number)",502166
Asia,2017,Other of concern to UNHCR (number),20251046
Asia,2017,Total population of concern to UNHCR (number),29820916
Asia,2018,Total refugees and people in refugee-like situations (number),10099166
Asia,2018,"Asylum seekers, including pending cases (number)",574010
Asia,2018,Other of concern to UNHCR (number),17698069
Asia,2018,Total population of concern to UNHCR (number),28371245
Central Asia,2005,International migrant stock: Both sexes (number),5238699
Central Asia,2005,International migrant stock: Both sexes (% total population),8.9188
Central Asia,2005,International migrant stock: Male (% total Population),8.3142
Central Asia,2005,International migrant stock: Female (% total Population),9.5069
Central Asia,2010,International migrant stock: Both sexes (number),5262414
Central Asia,2010,International migrant stock: Both sexes (% total population),8.3323
Central Asia,2010,International migrant stock: Male (% total Population),7.9788
Central Asia,2010,International migrant stock: Female (% total Population),8.6773
Central Asia,2015,International migrant stock: Both sexes (number),5393504
Central Asia,2015,International migrant stock: Both sexes (% total population),7.8502
Central Asia,2015,International migrant stock: Male (% total Population),7.643
Central Asia,2015,International migrant stock: Female (% total Population),8.0529
Central Asia,2017,International migrant stock: Both sexes (number),5462972
Central Asia,2017,International migrant stock: Both sexes (% total population),7.7117
Central Asia,2017,International migrant stock: Male (% total Population),7.5118
Central Asia,2017,International migrant stock: Female (% total Population),7.9074
Eastern Asia,2005,International migrant stock: Both sexes (number),6229524
Eastern Asia,2005,International migrant stock: Both sexes (% total population),0.4006
Eastern Asia,2005,International migrant stock: Male (% total Population),0.3688
Eastern Asia,2005,International migrant stock: Female (% total Population),0.4338
Eastern Asia,2010,International migrant stock: Both sexes (number),7061814
Eastern Asia,2010,International migrant stock: Both sexes (% total population),0.4425
Eastern Asia,2010,International migrant stock: Male (% total Population),0.4066
Eastern Asia,2010,International migrant stock: Female (% total Population),0.4801
Eastern Asia,2015,International migrant stock: Both sexes (number),7600768
Eastern Asia,2015,International migrant stock: Both sexes (% total population),0.4648
Eastern Asia,2015,International migrant stock: Male (% total Population),0.4252
Eastern Asia,2015,International migrant stock: Female (% total Population),0.5064
Eastern Asia,2017,International migrant stock: Both sexes (number),7776716
Eastern Asia,2017,International migrant stock: Both sexes (% total population),0.4718
Eastern Asia,2017,International migrant stock: Male (% total Population),0.4315
Eastern Asia,2017,International migrant stock: Female (% total Population),0.5142
South-eastern Asia,2005,International migrant stock: Both sexes (number),6522343
South-eastern Asia,2005,International migrant stock: Both sexes (% total population),1.161
South-eastern Asia,2005,International migrant stock: Male (% total Population),1.1945
South-eastern Asia,2005,International migrant stock: Female (% total Population),1.1278
South-eastern Asia,2010,International migrant stock: Both sexes (number),8673693
South-eastern Asia,2010,International migrant stock: Both sexes (% total population),1.4521
South-eastern Asia,2010,International migrant stock: Male (% total Population),1.5083
South-eastern Asia,2010,International migrant stock: Female (% total Population),1.3959
South-eastern Asia,2015,International migrant stock: Both sexes (number),9609923
South-eastern Asia,2015,International migrant stock: Both sexes (% total population),1.5143
South-eastern Asia,2015,International migrant stock: Male (% total Population),1.5746
South-eastern Asia,2015,International migrant stock: Female (% total Population),1.4541
South-eastern Asia,2017,International migrant stock: Both sexes (number),9873600
South-eastern Asia,2017,International migrant stock: Both sexes (% total population),1.5219
South-eastern Asia,2017,International migrant stock: Male (% total Population),1.5823
South-eastern Asia,2017,International migrant stock: Female (% total Population),1.4616
Southern Asia,2005,International migrant stock: Both sexes (number),13722011
Southern Asia,2005,International migrant stock: Both sexes (% total population),0.8668
Southern Asia,2005,International migrant stock: Male (% total Population),0.8751
Southern Asia,2005,International migrant stock: Female (% total Population),0.8579
Southern Asia,2010,International migrant stock: Both sexes (number),14307646
Southern Asia,2010,International migrant stock: Both sexes (% total population),0.839
Southern Asia,2010,International migrant stock: Male (% total Population),0.8523
Southern Asia,2010,International migrant stock: Female (% total Population),0.8248
Southern Asia,2015,International migrant stock: Both sexes (number),14173830
Southern Asia,2015,International migrant stock: Both sexes (% total population),0.7774
Southern Asia,2015,International migrant stock: Male (% total Population),0.773
Southern Asia,2015,International migrant stock: Female (% total Population),0.782
Southern Asia,2017,International migrant stock: Both sexes (number),13582402
Southern Asia,2017,International migrant stock: Both sexes (% total population),0.7267
Southern Asia,2017,International migrant stock: Male (% total Population),0.7239
Southern Asia,2017,International migrant stock: Female (% total Population),0.7297
Western Asia,2005,International migrant stock: Both sexes (number),21531153
Western Asia,2005,International migrant stock: Both sexes (% total population),10.4657
Western Asia,2005,International migrant stock: Male (% total Population),12.6151
Western Asia,2005,International migrant stock: Female (% total Population),8.2031
Western Asia,2010,International migrant stock: Both sexes (number),30616221
Western Asia,2010,International migrant stock: Both sexes (% total population),13.1548
Western Asia,2010,International migrant stock: Male (% total Population),16.5134
Western Asia,2010,International migrant stock: Female (% total Population),9.5242
Western Asia,2015,International migrant stock: Both sexes (number),39780127
Western Asia,2015,International migrant stock: Both sexes (% total population),15.4113
Western Asia,2015,International migrant stock: Male (% total Population),18.9035
Western Asia,2015,International migrant stock: Female (% total Population),11.5992
Western Asia,2017,International migrant stock: Both sexes (number),42891019
Western Asia,2017,International migrant stock: Both sexes (% total population),16.0245
Western Asia,2017,International migrant stock: Male (% total Population),19.6454
Western Asia,2017,International migrant stock: Female (% total Population),12.0583
Europe,2005,International migrant stock: Both sexes (number),63201280
Europe,2005,International migrant stock: Both sexes (% total population),8.6543
Europe,2005,International migrant stock: Male (% total Population),8.6908
Europe,2005,International migrant stock: Female (% total Population),8.6279
Europe,2010,International migrant stock: Both sexes (number),70747947
Europe,2010,International migrant stock: Both sexes (% total population),9.5973
Europe,2010,International migrant stock: Male (% total Population),9.5929
Europe,2010,International migrant stock: Female (% total Population),9.6102
Europe,2015,International migrant stock: Both sexes (number),74501508
Europe,2015,International migrant stock: Both sexes (% total population),10.0567
Europe,2015,International migrant stock: Male (% total Population),9.9797
Europe,2015,International migrant stock: Female (% total Population),10.1379
Europe,2015,Total refugees and people in refugee-like situations (number),1626214
Europe,2015,"Asylum seekers, including pending cases (number)",678737
Europe,2015,Other of concern to UNHCR (number),2368815
Europe,2015,Total population of concern to UNHCR (number),4673766
Europe,2017,International migrant stock: Both sexes (number),77895217
Europe,2017,International migrant stock: Both sexes (% total population),10.497
Europe,2017,International migrant stock: Male (% total Population),10.4321
Europe,2017,International migrant stock: Female (% total Population),10.5674
Europe,2017,Total refugees and people in refugee-like situations (number),2508981
Europe,2017,"Asylum seekers, including pending cases (number)",983967
Europe,2017,Other of concern to UNHCR (number),2751063
Europe,2017,Total population of concern to UNHCR (number),6244011
Europe,2018,Total refugees and people in refugee-like situations (number),2715811
Europe,2018,"Asylum seekers, including pending cases (number)",907165
Europe,2018,Other of concern to UNHCR (number),2726732
Europe,2018,Total population of concern to UNHCR (number),6349708
Eastern Europe,2005,International migrant stock: Both sexes (number),19747392
Eastern Europe,2005,International migrant stock: Both sexes (% total population),6.6375
Eastern Europe,2005,International migrant stock: Male (% total Population),6.6769
Eastern Europe,2005,International migrant stock: Female (% total Population),6.6025
Eastern Europe,2010,International migrant stock: Both sexes (number),19127781
Eastern Europe,2010,International migrant stock: Both sexes (% total population),6.4941
Eastern Europe,2010,International migrant stock: Male (% total Population),6.5278
Eastern Europe,2010,International migrant stock: Female (% total Population),6.4642
Eastern Europe,2015,International migrant stock: Both sexes (number),19880519
Eastern Europe,2015,International migrant stock: Both sexes (% total population),6.7795
Eastern Europe,2015,International migrant stock: Male (% total Population),6.8151
Eastern Europe,2015,International migrant stock: Female (% total Population),6.7479
Eastern Europe,2017,International migrant stock: Both sexes (number),20121711
Eastern Europe,2017,International migrant stock: Both sexes (% total population),6.8803
Eastern Europe,2017,International migrant stock: Male (% total Population),6.9257
Eastern Europe,2017,International migrant stock: Female (% total Population),6.8399
Northern Europe,2005,International migrant stock: Both sexes (number),9588814
Northern Europe,2005,International migrant stock: Both sexes (% total population),9.9493
Northern Europe,2005,International migrant stock: Male (% total Population),9.6912
Northern Europe,2005,International migrant stock: Female (% total Population),10.2217
Northern Europe,2010,International migrant stock: Both sexes (number),11810676
Northern Europe,2010,International migrant stock: Both sexes (% total population),11.7737
Northern Europe,2010,International migrant stock: Male (% total Population),11.5412
Northern Europe,2010,International migrant stock: Female (% total Population),12.0277
Northern Europe,2015,International migrant stock: Both sexes (number),13188813
Northern Europe,2015,International migrant stock: Both sexes (% total population),12.7926
Northern Europe,2015,International migrant stock: Male (% total Population),12.493
Northern Europe,2015,International migrant stock: Female (% total Population),13.1158
Northern Europe,2017,International migrant stock: Both sexes (number),13946390
Northern Europe,2017,International migrant stock: Both sexes (% total population),13.3843
Northern Europe,2017,International migrant stock: Male (% total Population),13.0534
Northern Europe,2017,International migrant stock: Female (% total Population),13.7401
Southern Europe,2005,International migrant stock: Both sexes (number),11974334
Southern Europe,2005,International migrant stock: Both sexes (% total population),7.9621
Southern Europe,2005,International migrant stock: Male (% total Population),7.9277
Southern Europe,2005,International migrant stock: Female (% total Population),8.0097
Southern Europe,2010,International migrant stock: Both sexes (number),16205444
Southern Europe,2010,International migrant stock: Both sexes (% total population),10.5269
Southern Europe,2010,International migrant stock: Male (% total Population),10.4608
Southern Europe,2010,International migrant stock: Female (% total Population),10.6103
Southern Europe,2015,International migrant stock: Both sexes (number),15830496
Southern Europe,2015,International migrant stock: Both sexes (% total population),10.3847
Southern Europe,2015,International migrant stock: Male (% total Population),9.9976
Southern Europe,2015,International migrant stock: Female (% total Population),10.7735
Southern Europe,2017,International migrant stock: Both sexes (number),15957631
Southern Europe,2017,International migrant stock: Both sexes (% total population),10.4992
Southern Europe,2017,International migrant stock: Male (% total Population),10.0897
Southern Europe,2017,International migrant stock: Female (% total Population),10.9097
Western Europe,2005,International migrant stock: Both sexes (number),21890740
Western Europe,2005,International migrant stock: Both sexes (% total population),11.7686
Western Europe,2005,International migrant stock: Male (% total Population),11.8898
Western Europe,2005,International migrant stock: Female (% total Population),11.6607
Western Europe,2010,International migrant stock: Both sexes (number),23604046
Western Europe,2010,International migrant stock: Both sexes (% total population),12.5309
Western Europe,2010,International migrant stock: Male (% total Population),12.4402
Western Europe,2010,International migrant stock: Female (% total Population),12.628
Western Europe,2015,International migrant stock: Both sexes (number),25601680
Western Europe,2015,International migrant stock: Both sexes (% total population),13.332
Western Europe,2015,International migrant stock: Male (% total Population),13.2377
Western Europe,2015,International migrant stock: Female (% total Population),13.4337
Western Europe,2017,International migrant stock: Both sexes (number),27869485
Western Europe,2017,International migrant stock: Both sexes (% total population),14.408
Western Europe,2017,International migrant stock: Male (% total Population),14.3514
Western Europe,2017,International migrant stock: Female (% total Population),14.4742
Oceania,2005,International migrant stock: Both sexes (number),6023421
Oceania,2005,International migrant stock: Both sexes (% total population),17.9441
Oceania,2005,International migrant stock: Male (% total Population),17.9253
Oceania,2005,International migrant stock: Female (% total Population),18.2349
Oceania,2010,International migrant stock: Both sexes (number),7124634
Oceania,2010,International migrant stock: Both sexes (% total population),19.4473
Oceania,2010,International migrant stock: Male (% total Population),19.3904
Oceania,2010,International migrant stock: Female (% total Population),19.7598
Oceania,2015,International migrant stock: Both sexes (number),8051745
Oceania,2015,International migrant stock: Both sexes (% total population),20.362
Oceania,2015,International migrant stock: Male (% total Population),20.1375
Oceania,2015,International migrant stock: Female (% total Population),20.8351
Oceania,2015,Total refugees and people in refugee-like situations (number),46963
