,Year,Series,Value
Bolivia (Plurin. State of),2002,R & D personnel: Other supporting staff - total (number in full-time equivalent),50
Bolivia (Plurin. State of),2010,R & D personnel: Total (number in full-time equivalent),"2,497"
Bolivia (Plurin. State of),2010,R & D personnel: Researchers - total (number in full-time equivalent),"1,646"
Bolivia (Plurin. State of),2010,R & D personnel: Technicians - total (number in full-time equivalent),258
Bolivia (Plurin. State of),2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),593
Bosnia and Herzegovina,2005,R & D personnel: Total (number in full-time equivalent),731
Bosnia and Herzegovina,2005,R & D personnel: Researchers - total (number in full-time equivalent),253
Bosnia and Herzegovina,2005,R & D personnel: Technicians - total (number in full-time equivalent),198
Bosnia and Herzegovina,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),280
Bosnia and Herzegovina,2007,R & D personnel: Total (number in full-time equivalent),"1,554"
Bosnia and Herzegovina,2007,R & D personnel: Researchers - total (number in full-time equivalent),745
Bosnia and Herzegovina,2007,R & D personnel: Technicians - total (number in full-time equivalent),270
Bosnia and Herzegovina,2007,R & D personnel: Other supporting staff - total (number in full-time equivalent),536
Bosnia and Herzegovina,2016,R & D personnel: Total (number in full-time equivalent),"2,109"
Bosnia and Herzegovina,2016,R & D personnel: Researchers - total (number in full-time equivalent),"1,422"
Bosnia and Herzegovina,2016,R & D personnel: Researchers - women (number in full-time equivalent),677
Bosnia and Herzegovina,2016,R & D personnel: Technicians - total (number in full-time equivalent),216
Bosnia and Herzegovina,2016,R & D personnel: Technicians - women (number in full-time equivalent),110
Bosnia and Herzegovina,2016,R & D personnel: Other supporting staff - total (number in full-time equivalent),188
Bosnia and Herzegovina,2016,R & D personnel: Other supporting staff - women (number in full-time equivalent),115
Botswana,2005,R & D personnel: Total (number in full-time equivalent),"2,140"
Botswana,2005,R & D personnel: Researchers - total (number in full-time equivalent),"1,732"
Botswana,2005,R & D personnel: Researchers - women (number in full-time equivalent),533
Botswana,2005,R & D personnel: Technicians - total (number in full-time equivalent),408
Botswana,2013,R & D personnel: Researchers - total (number in full-time equivalent),760
Botswana,2013,R & D personnel: Researchers - women (number in full-time equivalent),225
Botswana,2013,R & D personnel: Technicians - total (number in full-time equivalent),328
Botswana,2013,R & D personnel: Technicians - women (number in full-time equivalent),110
Botswana,2013,R & D personnel: Other supporting staff - total (number in full-time equivalent),628
Botswana,2013,R & D personnel: Other supporting staff - women (number in full-time equivalent),282
Botswana,2016,R & D personnel: Total (number in full-time equivalent),"1,716"
Brazil,2005,R & D personnel: Total (number in full-time equivalent),"174,035"
Brazil,2005,R & D personnel: Researchers - total (number in full-time equivalent),"96,939"
Brazil,2005,R & D personnel: Technicians - total (number in full-time equivalent),"77,096"
Brazil,2010,R & D personnel: Total (number in full-time equivalent),"260,014"
Brazil,2010,R & D personnel: Researchers - total (number in full-time equivalent),"136,946"
Brazil,2010,R & D personnel: Technicians - total (number in full-time equivalent),"123,068"
Brazil,2014,R & D personnel: Total (number in full-time equivalent),"347,737"
Brazil,2014,R & D personnel: Researchers - total (number in full-time equivalent),"183,853"
Brazil,2014,R & D personnel: Technicians - total (number in full-time equivalent),"163,884"
Brunei Darussalam,2003,R & D personnel: Total (number in full-time equivalent),140
Brunei Darussalam,2003,R & D personnel: Researchers - total (number in full-time equivalent),98
Brunei Darussalam,2004,R & D personnel: Researchers - total (number in full-time equivalent),102
Bulgaria,2005,R & D personnel: Total (number in full-time equivalent),"15,853"
Bulgaria,2005,R & D personnel: Researchers - total (number in full-time equivalent),"10,053"
Bulgaria,2005,R & D personnel: Researchers - women (number in full-time equivalent),"4,673"
Bulgaria,2005,R & D personnel: Technicians - total (number in full-time equivalent),"3,778"
Bulgaria,2005,R & D personnel: Technicians - women (number in full-time equivalent),"2,256"
Bulgaria,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),"2,022"
Bulgaria,2005,R & D personnel: Other supporting staff - women (number in full-time equivalent),"1,349"
Bulgaria,2010,R & D personnel: Total (number in full-time equivalent),"16,574"
Bulgaria,2010,R & D personnel: Researchers - total (number in full-time equivalent),"10,979"
Bulgaria,2010,R & D personnel: Researchers - women (number in full-time equivalent),"5,506"
Bulgaria,2010,R & D personnel: Technicians - total (number in full-time equivalent),"3,704"
Bulgaria,2010,R & D personnel: Technicians - women (number in full-time equivalent),"2,189"
Bulgaria,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),"1,891"
Bulgaria,2010,R & D personnel: Other supporting staff - women (number in full-time equivalent),"1,172"
Bulgaria,2011,R & D personnel: Total (number in full-time equivalent),"16,986"
Bulgaria,2011,R & D personnel: Researchers - total (number in full-time equivalent),"11,902"
Bulgaria,2011,R & D personnel: Researchers - women (number in full-time equivalent),"5,940"
Bulgaria,2011,R & D personnel: Technicians - total (number in full-time equivalent),"3,263"
Bulgaria,2011,R & D personnel: Technicians - women (number in full-time equivalent),"1,970"
Bulgaria,2011,R & D personnel: Other supporting staff - total (number in full-time equivalent),"1,821"
Bulgaria,2011,R & D personnel: Other supporting staff - women (number in full-time equivalent),"1,139"
Bulgaria,2015,R & D personnel: Total (number in full-time equivalent),"22,492"
Bulgaria,2015,R & D personnel: Researchers - total (number in full-time equivalent),"14,236"
Bulgaria,2015,R & D personnel: Researchers - women (number in full-time equivalent),"6,818"
Bulgaria,2016,R & D personnel: Total (number in full-time equivalent),"25,060"
Bulgaria,2016,R & D personnel: Researchers - total (number in full-time equivalent),"16,001"
Burkina Faso,2005,R & D personnel: Total (number in full-time equivalent),942
Burkina Faso,2005,R & D personnel: Researchers - total (number in full-time equivalent),301
Burkina Faso,2005,R & D personnel: Researchers - women (number in full-time equivalent),37
Burkina Faso,2005,R & D personnel: Technicians - total (number in full-time equivalent),225
Burkina Faso,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),416
Burkina Faso,2010,R & D personnel: Total (number in full-time equivalent),"2,548"
Burkina Faso,2010,R & D personnel: Researchers - total (number in full-time equivalent),"1,144"
Burkina Faso,2010,R & D personnel: Researchers - women (number in full-time equivalent),264
Burkina Faso,2010,R & D personnel: Technicians - total (number in full-time equivalent),608
Burkina Faso,2010,R & D personnel: Technicians - women (number in full-time equivalent),149
Burkina Faso,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),796
Burkina Faso,2010,R & D personnel: Other supporting staff - women (number in full-time equivalent),256
Burkina Faso,2014,R & D personnel: Total (number in full-time equivalent),"3,396"
Burkina Faso,2014,R & D personnel: Researchers - total (number in full-time equivalent),"1,555"
Burkina Faso,2014,R & D personnel: Researchers - women (number in full-time equivalent),237
Burkina Faso,2014,R & D personnel: Technicians - total (number in full-time equivalent),528
Burkina Faso,2014,R & D personnel: Technicians - women (number in full-time equivalent),80
Burkina Faso,2014,R & D personnel: Other supporting staff - total (number in full-time equivalent),"1,313"
Burkina Faso,2014,R & D personnel: Other supporting staff - women (number in full-time equivalent),460
Burundi,2010,R & D personnel: Total (number in full-time equivalent),744
Burundi,2010,R & D personnel: Researchers - total (number in full-time equivalent),374
Burundi,2010,R & D personnel: Researchers - women (number in full-time equivalent),56
Burundi,2010,R & D personnel: Technicians - total (number in full-time equivalent),117
Burundi,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),253
Burundi,2011,R & D personnel: Total (number in full-time equivalent),746
Burundi,2011,R & D personnel: Researchers - total (number in full-time equivalent),379
Burundi,2011,R & D personnel: Researchers - women (number in full-time equivalent),55
Burundi,2011,R & D personnel: Technicians - total (number in full-time equivalent),125
Burundi,2011,R & D personnel: Other supporting staff - total (number in full-time equivalent),242
Cabo Verde,2002,R & D personnel: Total (number in full-time equivalent),151
Cabo Verde,2002,R & D personnel: Researchers - total (number in full-time equivalent),60
Cabo Verde,2002,R & D personnel: Technicians - total (number in full-time equivalent),15
Cabo Verde,2002,R & D personnel: Other supporting staff - total (number in full-time equivalent),76
Cabo Verde,2011,R & D personnel: Total (number in full-time equivalent),37
Cabo Verde,2011,R & D personnel: Researchers - total (number in full-time equivalent),25
Cabo Verde,2011,R & D personnel: Researchers - women (number in full-time equivalent),9
Cabo Verde,2011,R & D personnel: Technicians - total (number in full-time equivalent),4
Cabo Verde,2011,R & D personnel: Technicians - women (number in full-time equivalent),2
Cabo Verde,2011,R & D personnel: Other supporting staff - total (number in full-time equivalent),8
Cabo Verde,2011,R & D personnel: Other supporting staff - women (number in full-time equivalent),5
Cambodia,2002,R & D personnel: Total (number in full-time equivalent),494
Cambodia,2002,R & D personnel: Researchers - total (number in full-time equivalent),223
Cambodia,2002,R & D personnel: Researchers - women (number in full-time equivalent),50
Cambodia,2002,R & D personnel: Technicians - total (number in full-time equivalent),170
Cambodia,2002,R & D personnel: Other supporting staff - total (number in full-time equivalent),102
Cambodia,2015,R & D personnel: Total (number in full-time equivalent),"1,895"
Cambodia,2015,R & D personnel: Researchers - total (number in full-time equivalent),471
Cambodia,2015,R & D personnel: Researchers - women (number in full-time equivalent),126
Cambodia,2015,R & D personnel: Technicians - total (number in full-time equivalent),945
Cambodia,2015,R & D personnel: Technicians - women (number in full-time equivalent),330
Cambodia,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),478
Cambodia,2015,R & D personnel: Other supporting staff - women (number in full-time equivalent),216
Cameroon,2008,R & D personnel: Total (number in full-time equivalent),"5,600"
Cameroon,2008,R & D personnel: Researchers - total (number in full-time equivalent),"4,562"
Cameroon,2008,R & D personnel: Researchers - women (number in full-time equivalent),994
Cameroon,2008,R & D personnel: Technicians - total (number in full-time equivalent),338
Cameroon,2008,R & D personnel: Other supporting staff - total (number in full-time equivalent),700
Canada,2005,R & D personnel: Total (number in full-time equivalent),"218,590"
Canada,2005,R & D personnel: Researchers - total (number in full-time equivalent),"136,700"
Canada,2005,R & D personnel: Technicians - total (number in full-time equivalent),"52,825"
Canada,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),"29,072"
Canada,2010,R & D personnel: Total (number in full-time equivalent),"233,060"
Canada,2010,R & D personnel: Researchers - total (number in full-time equivalent),"158,660"
Canada,2010,R & D personnel: Technicians - total (number in full-time equivalent),"51,930"
Canada,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),"22,470"
Canada,2014,R & D personnel: Total (number in full-time equivalent),"237,280"
Canada,2014,R & D personnel: Researchers - total (number in full-time equivalent),"162,090"
Canada,2014,R & D personnel: Technicians - total (number in full-time equivalent),"48,320"
Canada,2014,R & D personnel: Other supporting staff - total (number in full-time equivalent),"26,850"
Central African Republic,2005,R & D personnel: Researchers - total (number in full-time equivalent),11
Central African Republic,2007,R & D personnel: Researchers - total (number in full-time equivalent),41
Central African Republic,2007,R & D personnel: Researchers - women (number in full-time equivalent),17
Central African Republic,2009,R & D personnel: Researchers - total (number in full-time equivalent),134
Chad,2016,R & D personnel: Total (number in full-time equivalent),"1,097"
Chad,2016,R & D personnel: Researchers - total (number in full-time equivalent),843
Chad,2016,R & D personnel: Researchers - women (number in full-time equivalent),43
Chad,2016,R & D personnel: Technicians - total (number in full-time equivalent),121
Chad,2016,R & D personnel: Technicians - women (number in full-time equivalent),17
Chad,2016,R & D personnel: Other supporting staff - total (number in full-time equivalent),133
Chad,2016,R & D personnel: Other supporting staff - women (number in full-time equivalent),18
Chile,2010,R & D personnel: Total (number in full-time equivalent),"11,491"
Chile,2010,R & D personnel: Researchers - total (number in full-time equivalent),"5,440"
Chile,2010,R & D personnel: Researchers - women (number in full-time equivalent),"1,671"
Chile,2010,R & D personnel: Technicians - total (number in full-time equivalent),"3,909"
Chile,2010,R & D personnel: Technicians - women (number in full-time equivalent),"1,590"
Chile,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),"2,142"
Chile,2010,R & D personnel: Other supporting staff - women (number in full-time equivalent),941
Chile,2016,R & D personnel: Total (number in full-time equivalent),"16,633"
Chile,2016,R & D personnel: Researchers - total (number in full-time equivalent),"8,993"
Chile,2016,R & D personnel: Researchers - women (number in full-time equivalent),"2,979"
Chile,2016,R & D personnel: Technicians - total (number in full-time equivalent),"5,402"
Chile,2016,R & D personnel: Technicians - women (number in full-time equivalent),"2,398"
Chile,2016,R & D personnel: Other supporting staff - total (number in full-time equivalent),"2,238"
Chile,2016,R & D personnel: Other supporting staff - women (number in full-time equivalent),829
China,2005,R & D personnel: Total (number in full-time equivalent),"1,364,799"
China,2005,R & D personnel: Researchers - total (number in full-time equivalent),"1,118,698"
China,2010,R & D personnel: Total (number in full-time equivalent),"2,553,829"
China,2010,R & D personnel: Researchers - total (number in full-time equivalent),"1,210,841"
China,2016,R & D personnel: Total (number in full-time equivalent),"3,878,057"
China,2016,R & D personnel: Researchers - total (number in full-time equivalent),"1,692,176"
"China, Hong Kong SAR",2005,R & D personnel: Total (number in full-time equivalent),"22,053"
"China, Hong Kong SAR",2005,R & D personnel: Researchers - total (number in full-time equivalent),"18,024"
"China, Hong Kong SAR",2005,R & D personnel: Technicians - total (number in full-time equivalent),"2,346"
"China, Hong Kong SAR",2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),"1,683"
"China, Hong Kong SAR",2010,R & D personnel: Total (number in full-time equivalent),"24,060"
"China, Hong Kong SAR",2010,R & D personnel: Researchers - total (number in full-time equivalent),"20,582"
"China, Hong Kong SAR",2010,R & D personnel: Technicians - total (number in full-time equivalent),"2,159"
"China, Hong Kong SAR",2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),"1,319"
"China, Hong Kong SAR",2016,R & D personnel: Total (number in full-time equivalent),"29,047"
"China, Hong Kong SAR",2016,R & D personnel: Researchers - total (number in full-time equivalent),"24,865"
"China, Hong Kong SAR",2016,R & D personnel: Technicians - total (number in full-time equivalent),"2,351"
"China, Hong Kong SAR",2016,R & D personnel: Other supporting staff - total (number in full-time equivalent),"1,831"
"China, Macao SAR",2005,R & D personnel: Total (number in full-time equivalent),413
"China, Macao SAR",2005,R & D personnel: Researchers - total (number in full-time equivalent),298
"China, Macao SAR",2005,R & D personnel: Researchers - women (number in full-time equivalent),77
"China, Macao SAR",2005,R & D personnel: Technicians - total (number in full-time equivalent),110
"China, Macao SAR",2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),5
"China, Macao SAR",2010,R & D personnel: Total (number in full-time equivalent),676
"China, Macao SAR",2010,R & D personnel: Researchers - total (number in full-time equivalent),350
"China, Macao SAR",2010,R & D personnel: Researchers - women (number in full-time equivalent),116
"China, Macao SAR",2010,R & D personnel: Technicians - total (number in full-time equivalent),313
"China, Macao SAR",2010,R & D personnel: Technicians - women (number in full-time equivalent),158
"China, Macao SAR",2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),13
"China, Macao SAR",2010,R & D personnel: Other supporting staff - women (number in full-time equivalent),9
"China, Macao SAR",2016,R & D personnel: Total (number in full-time equivalent),"1,749"
"China, Macao SAR",2016,R & D personnel: Researchers - total (number in full-time equivalent),"1,623"
"China, Macao SAR",2016,R & D personnel: Researchers - women (number in full-time equivalent),662
"China, Macao SAR",2016,R & D personnel: Technicians - total (number in full-time equivalent),98
"China, Macao SAR",2016,R & D personnel: Technicians - women (number in full-time equivalent),34
"China, Macao SAR",2016,R & D personnel: Other supporting staff - total (number in full-time equivalent),28
"China, Macao SAR",2016,R & D personnel: Other supporting staff - women (number in full-time equivalent),22
Colombia,2005,R & D personnel: Researchers - total (number in full-time equivalent),"5,264"
Colombia,2005,R & D personnel: Researchers - women (number in full-time equivalent),"1,808"
Colombia,2010,R & D personnel: Researchers - total (number in full-time equivalent),"9,082"
