T07,"Enrolment in primary, secondary and tertiary education levels",,,,,
1,"Total, all countries or areas",2015,Gross enrollment ratio - Primary (female),102.6242,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
1,"Total, all countries or areas",2015,Students enrolled in secondary education (thousands),"583,315.5639",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
1,"Total, all countries or areas",2015,Gross enrollment ratio - Secondary (male),76.9851,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
1,"Total, all countries or areas",2015,Gross enrollment ratio - Secondary (female),75.9324,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
1,"Total, all countries or areas",2015,Students enrolled in tertiary education (thousands),"217,458.9777",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
1,"Total, all countries or areas",2015,Gross enrollment ratio - Tertiary (male),34.7216,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
1,"Total, all countries or areas",2015,Gross enrollment ratio - Tertiary (female),38.7492,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
1,"Total, all countries or areas",2017,Students enrolled in primary education (thousands),"746,284.9227",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
1,"Total, all countries or areas",2017,Gross enrollement ratio - Primary (male),103.7417,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
1,"Total, all countries or areas",2017,Gross enrollment ratio - Primary (female),104.4958,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
1,"Total, all countries or areas",2017,Students enrolled in secondary education (thousands),"590,725.2431",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
1,"Total, all countries or areas",2017,Gross enrollment ratio - Secondary (male),76.9813,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
1,"Total, all countries or areas",2017,Gross enrollment ratio - Secondary (female),76.1996,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
1,"Total, all countries or areas",2017,Students enrolled in tertiary education (thousands),"220,704.2395",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
1,"Total, all countries or areas",2017,Gross enrollment ratio - Tertiary (male),35.7433,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
1,"Total, all countries or areas",2017,Gross enrollment ratio - Tertiary (female),40.1622,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,Northern Africa,2005,Students enrolled in primary education (thousands),"23,022.9900",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,Northern Africa,2005,Gross enrollement ratio - Primary (male),97.5028,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,Northern Africa,2005,Gross enrollment ratio - Primary (female),90.3474,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,Northern Africa,2005,Students enrolled in secondary education (thousands),"16,908.9064",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,Northern Africa,2005,Gross enrollment ratio - Secondary (male),68.7420,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,Northern Africa,2005,Gross enrollment ratio - Secondary (female),67.7743,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,Northern Africa,2005,Students enrolled in tertiary education (thousands),"4,585.8947",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,Northern Africa,2005,Gross enrollment ratio - Tertiary (male),23.8312,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,Northern Africa,2005,Gross enrollment ratio - Tertiary (female),22.9692,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,Northern Africa,2010,Students enrolled in primary education (thousands),"23,597.6761",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,Northern Africa,2010,Gross enrollement ratio - Primary (male),101.4367,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,Northern Africa,2010,Gross enrollment ratio - Primary (female),96.0266,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,Northern Africa,2010,Students enrolled in secondary education (thousands),"17,398.8306",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,Northern Africa,2010,Gross enrollment ratio - Secondary (male),72.1599,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,Northern Africa,2010,Gross enrollment ratio - Secondary (female),70.4278,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,Northern Africa,2010,Students enrolled in tertiary education (thousands),"5,514.7835",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,Northern Africa,2010,Gross enrollment ratio - Tertiary (male),25.7716,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,Northern Africa,2010,Gross enrollment ratio - Tertiary (female),27.6724,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,Northern Africa,2014,Students enrolled in primary education (thousands),"25,149.7094",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,Northern Africa,2014,Gross enrollement ratio - Primary (male),100.0596,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,Northern Africa,2014,Gross enrollment ratio - Primary (female),96.7596,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,Northern Africa,2014,Students enrolled in secondary education (thousands),"18,617.5201",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,Northern Africa,2014,Gross enrollment ratio - Secondary (male),78.7804,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,Northern Africa,2014,Gross enrollment ratio - Secondary (female),77.6595,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,Northern Africa,2014,Students enrolled in tertiary education (thousands),"5,884.1967",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,Northern Africa,2014,Gross enrollment ratio - Tertiary (male),27.9975,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,Northern Africa,2014,Gross enrollment ratio - Tertiary (female),30.1605,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,Northern Africa,2015,Students enrolled in primary education (thousands),"25,786.6478",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,Northern Africa,2015,Gross enrollement ratio - Primary (male),100.6557,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,Northern Africa,2015,Gross enrollment ratio - Primary (female),97.1510,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,Northern Africa,2015,Students enrolled in secondary education (thousands),"18,901.9906",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,Northern Africa,2015,Gross enrollment ratio - Secondary (male),79.3407,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,Northern Africa,2015,Gross enrollment ratio - Secondary (female),78.7764,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,Northern Africa,2015,Students enrolled in tertiary education (thousands),"6,352.5287",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,Northern Africa,2015,Gross enrollment ratio - Tertiary (male),30.1075,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,Northern Africa,2015,Gross enrollment ratio - Tertiary (female),33.1579,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,Northern Africa,2017,Students enrolled in primary education (thousands),"27,431.2640",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,Northern Africa,2017,Gross enrollement ratio - Primary (male),102.2067,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,Northern Africa,2017,Gross enrollment ratio - Primary (female),99.2324,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,Northern Africa,2017,Students enrolled in secondary education (thousands),"19,606.9018",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,Northern Africa,2017,Gross enrollment ratio - Secondary (male),80.5247,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,Northern Africa,2017,Gross enrollment ratio - Secondary (female),79.8033,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,Northern Africa,2017,Students enrolled in tertiary education (thousands),"6,620.9032",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,Northern Africa,2017,Gross enrollment ratio - Tertiary (male),31.6607,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,Northern Africa,2017,Gross enrollment ratio - Tertiary (female),35.9247,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2005,Students enrolled in primary education (thousands),"113,401.8300",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2005,Gross enrollement ratio - Primary (male),99.8912,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2005,Gross enrollment ratio - Primary (female),88.0767,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2005,Students enrolled in secondary education (thousands),"32,017.7307",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2005,Gross enrollment ratio - Secondary (male),35.5649,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2005,Gross enrollment ratio - Secondary (female),27.8010,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2005,Students enrolled in tertiary education (thousands),"4,073.9539",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2005,Gross enrollment ratio - Tertiary (male),7.0335,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2005,Gross enrollment ratio - Tertiary (female),4.6840,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2010,Students enrolled in primary education (thousands),"135,890.7025",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2010,Gross enrollement ratio - Primary (male),100.8477,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2010,Gross enrollment ratio - Primary (female),93.3196,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2010,Students enrolled in secondary education (thousands),"44,918.9457",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2010,Gross enrollment ratio - Secondary (male),43.2236,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2010,Gross enrollment ratio - Secondary (female),35.4168,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2010,Students enrolled in tertiary education (thousands),"5,863.2761",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2010,Gross enrollment ratio - Tertiary (male),8.9267,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2010,Gross enrollment ratio - Tertiary (female),6.0020,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2014,Students enrolled in primary education (thousands),"154,890.6388",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2014,Gross enrollement ratio - Primary (male),101.9259,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2014,Gross enrollment ratio - Primary (female),96.7495,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2014,Students enrolled in secondary education (thousands),"54,747.3963",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2014,Gross enrollment ratio - Secondary (male),46.0994,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2014,Gross enrollment ratio - Secondary (female),39.6504,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2014,Students enrolled in tertiary education (thousands),"7,509.2135",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2014,Gross enrollment ratio - Tertiary (male),10.1592,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2014,Gross enrollment ratio - Tertiary (female),7.1035,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2015,Students enrolled in primary education (thousands),"156,751.6984",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2015,Gross enrollement ratio - Primary (male),100.1500,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2015,Gross enrollment ratio - Primary (female),95.7591,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2015,Students enrolled in secondary education (thousands),"57,117.1681",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2015,Gross enrollment ratio - Secondary (male),46.6374,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2015,Gross enrollment ratio - Secondary (female),40.2399,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2015,Students enrolled in tertiary education (thousands),"7,719.7499",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2015,Gross enrollment ratio - Tertiary (male),10.2203,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2015,Gross enrollment ratio - Tertiary (female),7.2943,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2017,Students enrolled in primary education (thousands),"164,725.5452",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2017,Gross enrollement ratio - Primary (male),100.1948,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2017,Gross enrollment ratio - Primary (female),95.8233,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
