[T24.],Land,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
426,Lesotho,2010,Land area (thousand hectares),"3,036",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
426,Lesotho,2010,Arable land (thousand hectares),322,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
426,Lesotho,2010,Permanent crops (thousand hectares),4,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
426,Lesotho,2010,Forest cover (thousand hectares),44,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
426,Lesotho,2010,Arable land (% of total land area),10.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
426,Lesotho,2010,Permanent crops (% of total land area),0.1,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
426,Lesotho,2010,Forest cover (% of total land area),1.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
426,Lesotho,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),15.27,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
426,Lesotho,2016,Land area (thousand hectares),"3,036",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
426,Lesotho,2016,Arable land (thousand hectares),352,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
426,Lesotho,2016,Permanent crops (thousand hectares),5,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
426,Lesotho,2016,Forest cover (thousand hectares),50,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
426,Lesotho,2016,Arable land (% of total land area),11.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
426,Lesotho,2016,Permanent crops (% of total land area),0.2,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
426,Lesotho,2016,Forest cover (% of total land area),1.6,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
426,Lesotho,2016,Important sites for terrestrial biodiversity protected (% of total sites protected),15.27,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
426,Lesotho,2018,Important sites for terrestrial biodiversity protected (% of total sites protected),15.27,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
430,Liberia,2005,Land area (thousand hectares),"9,632",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
430,Liberia,2005,Arable land (thousand hectares),400,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
430,Liberia,2005,Permanent crops (thousand hectares),215,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
430,Liberia,2005,Forest cover (thousand hectares),"4,479",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
430,Liberia,2005,Arable land (% of total land area),4.2,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
430,Liberia,2005,Permanent crops (% of total land area),2.2,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
430,Liberia,2005,Forest cover (% of total land area),46.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
430,Liberia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),16.36,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
430,Liberia,2010,Land area (thousand hectares),"9,632",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
430,Liberia,2010,Arable land (thousand hectares),480,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
430,Liberia,2010,Permanent crops (thousand hectares),180,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
430,Liberia,2010,Forest cover (thousand hectares),"4,329",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
430,Liberia,2010,Arable land (% of total land area),5.0,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
430,Liberia,2010,Permanent crops (% of total land area),1.9,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
430,Liberia,2010,Forest cover (% of total land area),44.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
430,Liberia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),16.36,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
430,Liberia,2016,Land area (thousand hectares),"9,632",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
430,Liberia,2016,Arable land (thousand hectares),500,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
430,Liberia,2016,Permanent crops (thousand hectares),200,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
430,Liberia,2016,Forest cover (thousand hectares),"4,149",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
430,Liberia,2016,Arable land (% of total land area),5.2,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
430,Liberia,2016,Permanent crops (% of total land area),2.1,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
430,Liberia,2016,Forest cover (% of total land area),43.1,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
430,Liberia,2016,Important sites for terrestrial biodiversity protected (% of total sites protected),16.36,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
430,Liberia,2018,Important sites for terrestrial biodiversity protected (% of total sites protected),16.36,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
434,Libya,2005,Land area (thousand hectares),"175,954",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
434,Libya,2005,Arable land (thousand hectares),"1,750",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
434,Libya,2005,Permanent crops (thousand hectares),335,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
434,Libya,2005,Forest cover (thousand hectares),217,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
434,Libya,2005,Arable land (% of total land area),1.0,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
434,Libya,2005,Permanent crops (% of total land area),0.2,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
434,Libya,2005,Forest cover (% of total land area),0.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
434,Libya,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),4.60,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
434,Libya,2010,Land area (thousand hectares),"175,954",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
434,Libya,2010,Arable land (thousand hectares),"1,716",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
434,Libya,2010,Permanent crops (thousand hectares),335,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
434,Libya,2010,Forest cover (thousand hectares),217,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
434,Libya,2010,Arable land (% of total land area),1.0,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
434,Libya,2010,Permanent crops (% of total land area),0.2,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
434,Libya,2010,Forest cover (% of total land area),0.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
434,Libya,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),4.60,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
434,Libya,2016,Land area (thousand hectares),"175,954",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
434,Libya,2016,Arable land (thousand hectares),"1,720",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
434,Libya,2016,Permanent crops (thousand hectares),330,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
434,Libya,2016,Forest cover (thousand hectares),217,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
434,Libya,2016,Arable land (% of total land area),1.0,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
434,Libya,2016,Permanent crops (% of total land area),0.2,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
434,Libya,2016,Forest cover (% of total land area),0.1,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
434,Libya,2016,Important sites for terrestrial biodiversity protected (% of total sites protected),4.60,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
434,Libya,2018,Important sites for terrestrial biodiversity protected (% of total sites protected),4.60,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
438,Liechtenstein,2005,Land area (thousand hectares),16,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
438,Liechtenstein,2005,Arable land (thousand hectares),4,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
438,Liechtenstein,2005,Forest cover (thousand hectares),7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
438,Liechtenstein,2005,Arable land (% of total land area),24.4,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
438,Liechtenstein,2005,Forest cover (% of total land area),43.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
438,Liechtenstein,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),75.82,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
438,Liechtenstein,2010,Land area (thousand hectares),16,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
438,Liechtenstein,2010,Arable land (thousand hectares),3,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
438,Liechtenstein,2010,Forest cover (thousand hectares),7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
438,Liechtenstein,2010,Arable land (% of total land area),20.6,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
438,Liechtenstein,2010,Forest cover (% of total land area),43.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
438,Liechtenstein,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),75.82,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
438,Liechtenstein,2016,Land area (thousand hectares),16,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
438,Liechtenstein,2016,Arable land (thousand hectares),2,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
438,Liechtenstein,2016,Forest cover (thousand hectares),7,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
438,Liechtenstein,2016,Arable land (% of total land area),13.5,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
438,Liechtenstein,2016,Forest cover (% of total land area),43.1,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
438,Liechtenstein,2016,Important sites for terrestrial biodiversity protected (% of total sites protected),75.82,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
438,Liechtenstein,2018,Important sites for terrestrial biodiversity protected (% of total sites protected),75.82,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
440,Lithuania,2005,Land area (thousand hectares),"6,268",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
440,Lithuania,2005,Arable land (thousand hectares),"1,907",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
440,Lithuania,2005,Permanent crops (thousand hectares),40,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
440,Lithuania,2005,Forest cover (thousand hectares),"2,121",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
440,Lithuania,2005,Arable land (% of total land area),30.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
440,Lithuania,2005,Permanent crops (% of total land area),0.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
440,Lithuania,2005,Forest cover (% of total land area),33.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
440,Lithuania,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),89.59,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
440,Lithuania,2010,Land area (thousand hectares),"6,268",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
440,Lithuania,2010,Arable land (thousand hectares),"2,127",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
440,Lithuania,2010,Permanent crops (thousand hectares),31,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
440,Lithuania,2010,Forest cover (thousand hectares),"2,170",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
440,Lithuania,2010,Arable land (% of total land area),33.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
440,Lithuania,2010,Permanent crops (% of total land area),0.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
440,Lithuania,2010,Forest cover (% of total land area),34.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
440,Lithuania,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),91.56,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
440,Lithuania,2016,Land area (thousand hectares),"6,264",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
440,Lithuania,2016,Arable land (thousand hectares),"2,143",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
440,Lithuania,2016,Permanent crops (thousand hectares),35,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
440,Lithuania,2016,Forest cover (thousand hectares),"2,182",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
440,Lithuania,2016,Arable land (% of total land area),34.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
440,Lithuania,2016,Permanent crops (% of total land area),0.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
440,Lithuania,2016,Forest cover (% of total land area),34.8,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
440,Lithuania,2016,Important sites for terrestrial biodiversity protected (% of total sites protected),91.56,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
440,Lithuania,2018,Important sites for terrestrial biodiversity protected (% of total sites protected),91.56,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
442,Luxembourg,2005,Land area (thousand hectares),243,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
442,Luxembourg,2005,Arable land (thousand hectares),60,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
442,Luxembourg,2005,Permanent crops (thousand hectares),2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
442,Luxembourg,2005,Forest cover (thousand hectares),87,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
442,Luxembourg,2005,Arable land (% of total land area),24.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
442,Luxembourg,2005,Permanent crops (% of total land area),0.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
442,Luxembourg,2005,Forest cover (% of total land area),35.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
442,Luxembourg,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),62.77,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
442,Luxembourg,2010,Land area (thousand hectares),243,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
442,Luxembourg,2010,Arable land (thousand hectares),62,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
442,Luxembourg,2010,Permanent crops (thousand hectares),2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
442,Luxembourg,2010,Forest cover (thousand hectares),87,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
442,Luxembourg,2010,Arable land (% of total land area),25.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
442,Luxembourg,2010,Permanent crops (% of total land area),0.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
442,Luxembourg,2010,Forest cover (% of total land area),35.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
442,Luxembourg,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),62.77,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
442,Luxembourg,2016,Land area (thousand hectares),243,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
442,Luxembourg,2016,Arable land (thousand hectares),62,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
442,Luxembourg,2016,Permanent crops (thousand hectares),2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
442,Luxembourg,2016,Forest cover (thousand hectares),87,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
442,Luxembourg,2016,Arable land (% of total land area),25.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
442,Luxembourg,2016,Permanent crops (% of total land area),0.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
442,Luxembourg,2016,Forest cover (% of total land area),35.7,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
442,Luxembourg,2016,Important sites for terrestrial biodiversity protected (% of total sites protected),78.68,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
442,Luxembourg,2018,Important sites for terrestrial biodiversity protected (% of total sites protected),78.68,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
450,Madagascar,2005,Land area (thousand hectares),"58,154",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
450,Madagascar,2005,Arable land (thousand hectares),"3,000",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
450,Madagascar,2005,Permanent crops (thousand hectares),600,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
450,Madagascar,2005,Forest cover (thousand hectares),"12,838",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
450,Madagascar,2005,Arable land (% of total land area),5.2,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
450,Madagascar,2005,Permanent crops (% of total land area),1.0,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
450,Madagascar,2005,Forest cover (% of total land area),22.1,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
450,Madagascar,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),19.68,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
450,Madagascar,2010,Land area (thousand hectares),"58,154",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
450,Madagascar,2010,Arable land (thousand hectares),"3,500",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
450,Madagascar,2010,Permanent crops (thousand hectares),600,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
450,Madagascar,2010,Forest cover (thousand hectares),"12,553",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
450,Madagascar,2010,Arable land (% of total land area),6.0,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
450,Madagascar,2010,Permanent crops (% of total land area),1.0,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
450,Madagascar,2010,Forest cover (% of total land area),21.6,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
450,Madagascar,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),21.74,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
450,Madagascar,2016,Land area (thousand hectares),"58,180",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
450,Madagascar,2016,Arable land (thousand hectares),"3,500",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
450,Madagascar,2016,Permanent crops (thousand hectares),620,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
450,Madagascar,2016,Forest cover (thousand hectares),"12,457",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
450,Madagascar,2016,Arable land (% of total land area),6.0,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
450,Madagascar,2016,Permanent crops (% of total land area),1.1,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
450,Madagascar,2016,Forest cover (% of total land area),21.4,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
450,Madagascar,2016,Important sites for terrestrial biodiversity protected (% of total sites protected),22.11,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
450,Madagascar,2018,Important sites for terrestrial biodiversity protected (% of total sites protected),24.25,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
454,Malawi,2005,Land area (thousand hectares),"9,428",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
454,Malawi,2005,Arable land (thousand hectares),"3,200",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
454,Malawi,2005,Permanent crops (thousand hectares),130,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
454,Malawi,2005,Forest cover (thousand hectares),"3,402",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
454,Malawi,2005,Arable land (% of total land area),33.9,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
454,Malawi,2005,Permanent crops (% of total land area),1.4,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
454,Malawi,2005,Forest cover (% of total land area),36.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
