T11,Expenditure on health,,,,,
12,Algeria,2000,Current health expenditure (% of GDP),3.4890,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
12,Algeria,2005,Current health expenditure (% of GDP),3.2352,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
12,Algeria,2010,Current health expenditure (% of GDP),5.1172,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
12,Algeria,2014,Current health expenditure (% of GDP),6.5472,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
12,Algeria,2015,Current health expenditure (% of GDP),6.9829,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
12,Algeria,2016,Current health expenditure (% of GDP),6.6485,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
12,Algeria,2000,Domestic general government health expenditure (% of total government expenditure),8.7881,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
12,Algeria,2005,Domestic general government health expenditure (% of total government expenditure),8.2694,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
12,Algeria,2010,Domestic general government health expenditure (% of total government expenditure),9.5448,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
12,Algeria,2014,Domestic general government health expenditure (% of total government expenditure),11.6107,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
12,Algeria,2015,Domestic general government health expenditure (% of total government expenditure),10.7331,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
12,Algeria,2016,Domestic general government health expenditure (% of total government expenditure),10.7343,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
20,Andorra,2000,Current health expenditure (% of GDP),9.3481,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
20,Andorra,2005,Current health expenditure (% of GDP),8.5660,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
20,Andorra,2010,Current health expenditure (% of GDP),9.4497,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
20,Andorra,2014,Current health expenditure (% of GDP),10.2765,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
20,Andorra,2015,Current health expenditure (% of GDP),10.2612,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
20,Andorra,2016,Current health expenditure (% of GDP),10.3677,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
20,Andorra,2000,Domestic general government health expenditure (% of total government expenditure),12.9924,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
20,Andorra,2005,Domestic general government health expenditure (% of total government expenditure),10.9966,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
20,Andorra,2010,Domestic general government health expenditure (% of total government expenditure),10.8924,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
20,Andorra,2014,Domestic general government health expenditure (% of total government expenditure),14.9578,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
20,Andorra,2015,Domestic general government health expenditure (% of total government expenditure),15.2437,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
20,Andorra,2016,Domestic general government health expenditure (% of total government expenditure),14.0176,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
24,Angola,2000,Current health expenditure (% of GDP),2.3344,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
24,Angola,2005,Current health expenditure (% of GDP),3.7348,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
24,Angola,2010,Current health expenditure (% of GDP),2.7367,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
24,Angola,2014,Current health expenditure (% of GDP),2.7987,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
24,Angola,2015,Current health expenditure (% of GDP),2.9504,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
24,Angola,2016,Current health expenditure (% of GDP),2.8778,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
24,Angola,2000,Domestic general government health expenditure (% of total government expenditure),2.7386,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
24,Angola,2005,Domestic general government health expenditure (% of total government expenditure),4.8206,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
24,Angola,2010,Domestic general government health expenditure (% of total government expenditure),4.2496,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
24,Angola,2014,Domestic general government health expenditure (% of total government expenditure),3.6157,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
24,Angola,2015,Domestic general government health expenditure (% of total government expenditure),4.5626,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
24,Angola,2016,Domestic general government health expenditure (% of total government expenditure),5.4327,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
28,Antigua and Barbuda,2000,Current health expenditure (% of GDP),3.8662,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
28,Antigua and Barbuda,2005,Current health expenditure (% of GDP),4.5266,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
28,Antigua and Barbuda,2010,Current health expenditure (% of GDP),5.4495,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
28,Antigua and Barbuda,2014,Current health expenditure (% of GDP),5.7907,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
28,Antigua and Barbuda,2015,Current health expenditure (% of GDP),4.7160,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
28,Antigua and Barbuda,2016,Current health expenditure (% of GDP),4.3090,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
28,Antigua and Barbuda,2000,Domestic general government health expenditure (% of total government expenditure),11.3060,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
28,Antigua and Barbuda,2005,Domestic general government health expenditure (% of total government expenditure),11.8797,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
28,Antigua and Barbuda,2010,Domestic general government health expenditure (% of total government expenditure),16.9910,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
28,Antigua and Barbuda,2014,Domestic general government health expenditure (% of total government expenditure),17.8620,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
28,Antigua and Barbuda,2015,Domestic general government health expenditure (% of total government expenditure),12.3034,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
28,Antigua and Barbuda,2016,Domestic general government health expenditure (% of total government expenditure),10.7591,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
32,Argentina,2000,Current health expenditure (% of GDP),8.4670,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
32,Argentina,2005,Current health expenditure (% of GDP),7.6290,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
32,Argentina,2010,Current health expenditure (% of GDP),8.6120,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
32,Argentina,2014,Current health expenditure (% of GDP),8.2372,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
32,Argentina,2015,Current health expenditure (% of GDP),8.7433,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
32,Argentina,2016,Current health expenditure (% of GDP),7.5484,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
32,Argentina,2000,Domestic general government health expenditure (% of total government expenditure),17.8199,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
32,Argentina,2005,Domestic general government health expenditure (% of total government expenditure),16.0222,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
32,Argentina,2010,Domestic general government health expenditure (% of total government expenditure),16.6930,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
32,Argentina,2014,Domestic general government health expenditure (% of total government expenditure),16.3169,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
32,Argentina,2015,Domestic general government health expenditure (% of total government expenditure),16.5743,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
32,Argentina,2016,Domestic general government health expenditure (% of total government expenditure),13.5620,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
51,Armenia,2000,Current health expenditure (% of GDP),6.5052,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
51,Armenia,2005,Current health expenditure (% of GDP),7.0349,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
51,Armenia,2010,Current health expenditure (% of GDP),5.2642,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
51,Armenia,2014,Current health expenditure (% of GDP),10.1783,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
51,Armenia,2015,Current health expenditure (% of GDP),10.1176,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
51,Armenia,2016,Current health expenditure (% of GDP),9.9273,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
51,Armenia,2000,Domestic general government health expenditure (% of total government expenditure),4.1717,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
51,Armenia,2005,Domestic general government health expenditure (% of total government expenditure),7.4115,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
51,Armenia,2010,Domestic general government health expenditure (% of total government expenditure),6.4431,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
51,Armenia,2014,Domestic general government health expenditure (% of total government expenditure),6.2753,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
51,Armenia,2015,Domestic general government health expenditure (% of total government expenditure),6.1153,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
51,Armenia,2016,Domestic general government health expenditure (% of total government expenditure),6.0535,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
36,Australia,2000,Current health expenditure (% of GDP),7.6171,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
36,Australia,2005,Current health expenditure (% of GDP),7.9958,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
36,Australia,2010,Current health expenditure (% of GDP),8.4452,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
36,Australia,2014,Current health expenditure (% of GDP),9.0547,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
36,Australia,2015,Current health expenditure (% of GDP),9.3301,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
36,Australia,2016,Current health expenditure (% of GDP),9.2521,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
36,Australia,2000,Domestic general government health expenditure (% of total government expenditure),15.1643,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
36,Australia,2005,Domestic general government health expenditure (% of total government expenditure),16.3350,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
36,Australia,2010,Domestic general government health expenditure (% of total government expenditure),16.2633,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
36,Australia,2014,Domestic general government health expenditure (% of total government expenditure),16.6289,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
36,Australia,2015,Domestic general government health expenditure (% of total government expenditure),17.2366,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
36,Australia,2016,Domestic general government health expenditure (% of total government expenditure),17.4214,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
40,Austria,2000,Current health expenditure (% of GDP),9.2037,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
40,Austria,2005,Current health expenditure (% of GDP),9.6270,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
40,Austria,2010,Current health expenditure (% of GDP),10.2210,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
40,Austria,2014,Current health expenditure (% of GDP),10.3707,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
40,Austria,2015,Current health expenditure (% of GDP),10.3429,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
40,Austria,2016,Current health expenditure (% of GDP),10.4376,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
40,Austria,2000,Domestic general government health expenditure (% of total government expenditure),13.3752,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
40,Austria,2005,Domestic general government health expenditure (% of total government expenditure),13.6724,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
40,Austria,2010,Domestic general government health expenditure (% of total government expenditure),14.0038,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
40,Austria,2014,Domestic general government health expenditure (% of total government expenditure),14.3702,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
40,Austria,2015,Domestic general government health expenditure (% of total government expenditure),14.7707,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
40,Austria,2016,Domestic general government health expenditure (% of total government expenditure),14.9268,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
31,Azerbaijan,2000,Current health expenditure (% of GDP),3.8348,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
31,Azerbaijan,2005,Current health expenditure (% of GDP),7.3978,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
31,Azerbaijan,2010,Current health expenditure (% of GDP),4.9114,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
31,Azerbaijan,2014,Current health expenditure (% of GDP),5.5619,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
31,Azerbaijan,2015,Current health expenditure (% of GDP),6.8390,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
31,Azerbaijan,2016,Current health expenditure (% of GDP),6.8906,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
31,Azerbaijan,2000,Domestic general government health expenditure (% of total government expenditure),4.7503,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
31,Azerbaijan,2005,Domestic general government health expenditure (% of total government expenditure),3.9138,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
31,Azerbaijan,2010,Domestic general government health expenditure (% of total government expenditure),3.6419,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
31,Azerbaijan,2014,Domestic general government health expenditure (% of total government expenditure),3.3821,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
31,Azerbaijan,2015,Domestic general government health expenditure (% of total government expenditure),3.6942,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
31,Azerbaijan,2016,Domestic general government health expenditure (% of total government expenditure),3.8837,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
44,Bahamas,2000,Current health expenditure (% of GDP),3.9995,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
44,Bahamas,2005,Current health expenditure (% of GDP),4.5954,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
44,Bahamas,2010,Current health expenditure (% of GDP),5.9231,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
44,Bahamas,2014,Current health expenditure (% of GDP),5.9480,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
44,Bahamas,2015,Current health expenditure (% of GDP),5.9875,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
44,Bahamas,2016,Current health expenditure (% of GDP),6.3754,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
44,Bahamas,2000,Domestic general government health expenditure (% of total government expenditure),15.9496,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
44,Bahamas,2005,Domestic general government health expenditure (% of total government expenditure),16.2140,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
44,Bahamas,2010,Domestic general government health expenditure (% of total government expenditure),17.2666,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
44,Bahamas,2014,Domestic general government health expenditure (% of total government expenditure),14.8417,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
44,Bahamas,2015,Domestic general government health expenditure (% of total government expenditure),15.8685,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
44,Bahamas,2016,Domestic general government health expenditure (% of total government expenditure),15.9821,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
48,Bahrain,2000,Current health expenditure (% of GDP),3.5613,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
48,Bahrain,2005,Current health expenditure (% of GDP),3.1756,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
48,Bahrain,2010,Current health expenditure (% of GDP),3.8429,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
48,Bahrain,2014,Current health expenditure (% of GDP),4.4068,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
48,Bahrain,2015,Current health expenditure (% of GDP),4.9751,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
48,Bahrain,2016,Current health expenditure (% of GDP),4.8695,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
48,Bahrain,2000,Domestic general government health expenditure (% of total government expenditure),10.1835,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
48,Bahrain,2005,Domestic general government health expenditure (% of total government expenditure),8.6178,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
48,Bahrain,2010,Domestic general government health expenditure (% of total government expenditure),8.4764,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
48,Bahrain,2014,Domestic general government health expenditure (% of total government expenditure),10.0913,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
48,Bahrain,2015,Domestic general government health expenditure (% of total government expenditure),8.8287,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
48,Bahrain,2016,Domestic general government health expenditure (% of total government expenditure),8.4129,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
50,Bangladesh,2000,Current health expenditure (% of GDP),2.0019,Data revision.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
50,Bangladesh,2005,Current health expenditure (% of GDP),2.2755,Data revision.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
50,Bangladesh,2010,Current health expenditure (% of GDP),2.4959,Data revision.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
50,Bangladesh,2014,Current health expenditure (% of GDP),2.4960,Data revision.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
50,Bangladesh,2015,Current health expenditure (% of GDP),2.4631,Data revision.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
50,Bangladesh,2016,Current health expenditure (% of GDP),2.3651,Data revision.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
50,Bangladesh,2000,Domestic general government health expenditure (% of total government expenditure),5.2098,Data revision.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
50,Bangladesh,2005,Domestic general government health expenditure (% of total government expenditure),4.3888,Data revision.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
50,Bangladesh,2010,Domestic general government health expenditure (% of total government expenditure),4.4394,Data revision.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
50,Bangladesh,2014,Domestic general government health expenditure (% of total government expenditure),3.6117,Data revision.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
50,Bangladesh,2015,Domestic general government health expenditure (% of total government expenditure),3.3797,Data revision.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
50,Bangladesh,2016,Domestic general government health expenditure (% of total government expenditure),3.3797,Data revision.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
52,Barbados,2000,Current health expenditure (% of GDP),5.2260,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
52,Barbados,2005,Current health expenditure (% of GDP),6.6335,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
52,Barbados,2010,Current health expenditure (% of GDP),6.7740,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
52,Barbados,2014,Current health expenditure (% of GDP),7.1446,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
52,Barbados,2015,Current health expenditure (% of GDP),7.0127,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
52,Barbados,2016,Current health expenditure (% of GDP),6.9624,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
52,Barbados,2000,Domestic general government health expenditure (% of total government expenditure),9.3830,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
52,Barbados,2005,Domestic general government health expenditure (% of total government expenditure),13.2390,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
52,Barbados,2010,Domestic general government health expenditure (% of total government expenditure),10.7378,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
52,Barbados,2014,Domestic general government health expenditure (% of total government expenditure),9.9167,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
52,Barbados,2015,Domestic general government health expenditure (% of total government expenditure),9.1405,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
52,Barbados,2016,Domestic general government health expenditure (% of total government expenditure),9.2835,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
112,Belarus,2000,Current health expenditure (% of GDP),5.4718,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
