T10,Health Personnel,,,,,
4,Afghanistan,2016,Health personnel: Dentists (number),120,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
4,Afghanistan,2016,Health personnel: Dentists (per 1000 population),0.0,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
4,Afghanistan,2016,Health personnel: Pharmacists (number),"1,675",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
4,Afghanistan,2016,Health personnel: Pharmacists (per 1000 population),0.0,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
8,Albania,2006,Health personnel: Dentists (number),"1,035",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
8,Albania,2006,Health personnel: Dentists (per 1000 population),0.3,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
8,Albania,2010,Health personnel: Physicians (number),"3,640",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
8,Albania,2010,Health personnel: Physicians (per 1000 population),1.2,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
8,Albania,2010,Health personnel: Pharmacists (number),"1,324",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
8,Albania,2010,Health personnel: Pharmacists (per 1000 population),0.5,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
8,Albania,2013,Health personnel: Physicians (number),"3,709",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
8,Albania,2013,Health personnel: Physicians (per 1000 population),1.3,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
8,Albania,2013,Health personnel: Pharmacists (number),"2,441",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
8,Albania,2013,Health personnel: Pharmacists (per 1000 population),0.8,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
8,Albania,2013,Health personnel: Nurses and midwives (number),"13,334",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
8,Albania,2013,Health personnel: Nurses and midwives personnel (per 1000 population),4.6,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
8,Albania,2016,Health personnel: Physicians (number),"3,511",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
8,Albania,2016,Health personnel: Physicians (per 1000 population),1.2,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
8,Albania,2016,Health personnel: Nurses and midwives (number),"10,534",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
8,Albania,2016,Health personnel: Nurses and midwives personnel (per 1000 population),3.6,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
12,Algeria,2002,Health personnel: Physicians (number),"35,368",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
12,Algeria,2002,Health personnel: Physicians (per 1000 population),1.1,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
12,Algeria,2002,Health personnel: Dentists (number),"8,861",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
12,Algeria,2002,Health personnel: Dentists (per 1000 population),0.3,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
12,Algeria,2002,Health personnel: Pharmacists (number),"5,413",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
12,Algeria,2002,Health personnel: Pharmacists (per 1000 population),0.2,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
12,Algeria,2002,Health personnel: Nurses and midwives (number),"69,749",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
12,Algeria,2002,Health personnel: Nurses and midwives personnel (per 1000 population),2.2,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
12,Algeria,2005,Health personnel: Physicians (number),"33,952",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
12,Algeria,2005,Health personnel: Physicians (per 1000 population),1.0,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
12,Algeria,2005,Health personnel: Dentists (number),"9,022",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
12,Algeria,2005,Health personnel: Dentists (per 1000 population),0.3,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
12,Algeria,2005,Health personnel: Pharmacists (number),"6,104",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
12,Algeria,2005,Health personnel: Pharmacists (per 1000 population),0.2,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
12,Algeria,2007,Health personnel: Physicians (number),"40,857",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
12,Algeria,2007,Health personnel: Physicians (per 1000 population),1.2,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
12,Algeria,2007,Health personnel: Dentists (number),"10,621",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
12,Algeria,2007,Health personnel: Dentists (per 1000 population),0.3,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
12,Algeria,2007,Health personnel: Pharmacists (number),"7,417",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
12,Algeria,2007,Health personnel: Pharmacists (per 1000 population),0.2,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
12,Algeria,2007,Health personnel: Nurses and midwives (number),"65,919",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
12,Algeria,2007,Health personnel: Nurses and midwives personnel (per 1000 population),1.9,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
12,Algeria,2016,Health personnel: Physicians (number),"74,309",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
12,Algeria,2016,Health personnel: Physicians (per 1000 population),1.8,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
12,Algeria,2016,Health personnel: Nurses and midwives (number),"90,958",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
12,Algeria,2016,Health personnel: Nurses and midwives personnel (per 1000 population),2.2,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
20,Andorra,2003,Health personnel: Physicians (number),244,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
20,Andorra,2003,Health personnel: Physicians (per 1000 population),3.3,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
20,Andorra,2003,Health personnel: Dentists (number),44,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
20,Andorra,2003,Health personnel: Dentists (per 1000 population),0.6,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
20,Andorra,2003,Health personnel: Pharmacists (number),68,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
20,Andorra,2003,Health personnel: Pharmacists (per 1000 population),0.9,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
20,Andorra,2015,Health personnel: Physicians (number),260,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
20,Andorra,2015,Health personnel: Physicians (per 1000 population),3.3,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
20,Andorra,2015,Health personnel: Dentists (number),64,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
20,Andorra,2015,Health personnel: Dentists (per 1000 population),0.8,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
20,Andorra,2015,Health personnel: Pharmacists (number),79,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
20,Andorra,2015,Health personnel: Pharmacists (per 1000 population),1.0,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
20,Andorra,2015,Health personnel: Nurses and midwives (number),313,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
20,Andorra,2015,Health personnel: Nurses and midwives personnel (per 1000 population),4.0,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
24,Angola,2004,Health personnel: Physicians (number),"1,165",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
24,Angola,2004,Health personnel: Physicians (per 1000 population),0.1,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
24,Angola,2004,Health personnel: Dentists (number),222,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
24,Angola,2004,Health personnel: Dentists (per 1000 population),0.0,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
24,Angola,2004,Health personnel: Pharmacists (number),919,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
24,Angola,2004,Health personnel: Pharmacists (per 1000 population),0.0,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
24,Angola,2004,Health personnel: Nurses and midwives (number),"18,485",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
24,Angola,2004,Health personnel: Nurses and midwives personnel (per 1000 population),1.0,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
24,Angola,2009,Health personnel: Physicians (number),"2,956",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
24,Angola,2009,Health personnel: Physicians (per 1000 population),0.1,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
24,Angola,2009,Health personnel: Nurses and midwives (number),"29,592",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
24,Angola,2009,Health personnel: Nurses and midwives personnel (per 1000 population),1.3,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
24,Angola,2017,Health personnel: Physicians (number),"6,400",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
24,Angola,2017,Health personnel: Physicians (per 1000 population),0.2,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
28,Antigua and Barbuda,2007,Health personnel: Physicians (number),144,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
28,Antigua and Barbuda,2007,Health personnel: Physicians (per 1000 population),1.6,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
28,Antigua and Barbuda,2007,Health personnel: Pharmacists (number),15,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
28,Antigua and Barbuda,2007,Health personnel: Pharmacists (per 1000 population),0.2,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
28,Antigua and Barbuda,2007,Health personnel: Nurses and midwives (number),277,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
28,Antigua and Barbuda,2007,Health personnel: Nurses and midwives personnel (per 1000 population),3.0,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
28,Antigua and Barbuda,2017,Health personnel: Physicians (number),282,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
28,Antigua and Barbuda,2017,Health personnel: Physicians (per 1000 population),2.8,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
28,Antigua and Barbuda,2017,Health personnel: Nurses and midwives (number),318,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
28,Antigua and Barbuda,2017,Health personnel: Nurses and midwives personnel (per 1000 population),3.1,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
32,Argentina,2004,Health personnel: Physicians (number),"122,623",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
32,Argentina,2004,Health personnel: Physicians (per 1000 population),3.2,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
32,Argentina,2004,Health personnel: Dentists (number),"35,592",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
32,Argentina,2004,Health personnel: Dentists (per 1000 population),0.9,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
32,Argentina,2004,Health personnel: Pharmacists (number),"19,510",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
32,Argentina,2004,Health personnel: Pharmacists (per 1000 population),0.5,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
32,Argentina,2004,Health personnel: Nurses and midwives (number),"18,685",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
32,Argentina,2004,Health personnel: Nurses and midwives personnel (per 1000 population),0.5,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
32,Argentina,2013,Health personnel: Physicians (number),"166,187",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
32,Argentina,2013,Health personnel: Physicians (per 1000 population),3.9,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
32,Argentina,2013,Health personnel: Nurses and midwives (number),"179,175",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
32,Argentina,2013,Health personnel: Nurses and midwives personnel (per 1000 population),4.2,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
32,Argentina,2017,Health personnel: Physicians (number),"175,313",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
32,Argentina,2017,Health personnel: Physicians (per 1000 population),4.0,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
32,Argentina,2017,Health personnel: Nurses and midwives (number),"114,219",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
32,Argentina,2017,Health personnel: Nurses and midwives personnel (per 1000 population),2.6,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
51,Armenia,2010,Health personnel: Physicians (number),"8,177",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
51,Armenia,2010,Health personnel: Physicians (per 1000 population),2.8,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
51,Armenia,2010,Health personnel: Dentists (number),"1,257",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
51,Armenia,2010,Health personnel: Dentists (per 1000 population),0.4,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
51,Armenia,2010,Health personnel: Pharmacists (number),123,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
51,Armenia,2010,Health personnel: Pharmacists (per 1000 population),0.0,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
51,Armenia,2010,Health personnel: Nurses and midwives (number),"16,386",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
51,Armenia,2010,Health personnel: Nurses and midwives personnel (per 1000 population),5.7,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
51,Armenia,2014,Health personnel: Physicians (number),"8,425",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
51,Armenia,2014,Health personnel: Physicians (per 1000 population),2.9,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
51,Armenia,2014,Health personnel: Dentists (number),"1,138",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
51,Armenia,2014,Health personnel: Dentists (per 1000 population),0.4,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
51,Armenia,2014,Health personnel: Pharmacists (number),150,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
51,Armenia,2014,Health personnel: Pharmacists (per 1000 population),0.1,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
51,Armenia,2014,Health personnel: Nurses and midwives (number),"16,302",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
51,Armenia,2014,Health personnel: Nurses and midwives personnel (per 1000 population),5.6,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
36,Australia,2001,Health personnel: Physicians (number),"47,875",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
36,Australia,2001,Health personnel: Physicians (per 1000 population),2.5,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
36,Australia,2001,Health personnel: Dentists (number),"8,200",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
36,Australia,2001,Health personnel: Dentists (per 1000 population),0.4,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
36,Australia,2001,Health personnel: Pharmacists (number),"13,956",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
36,Australia,2001,Health personnel: Pharmacists (per 1000 population),0.7,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
36,Australia,2001,Health personnel: Nurses and midwives (number),"187,837",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
36,Australia,2001,Health personnel: Nurses and midwives personnel (per 1000 population),9.7,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
36,Australia,2010,Health personnel: Physicians (number),"74,061",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
36,Australia,2010,Health personnel: Physicians (per 1000 population),3.3,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
36,Australia,2010,Health personnel: Dentists (number),"11,473",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
36,Australia,2010,Health personnel: Dentists (per 1000 population),0.5,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
36,Australia,2010,Health personnel: Pharmacists (number),"19,237",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
36,Australia,2010,Health personnel: Pharmacists (per 1000 population),0.9,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
36,Australia,2010,Health personnel: Nurses and midwives (number),"230,446",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
36,Australia,2010,Health personnel: Nurses and midwives personnel (per 1000 population),10.4,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
36,Australia,2015,Health personnel: Physicians (number),"83,804",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
36,Australia,2015,Health personnel: Physicians (per 1000 population),3.5,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
36,Australia,2015,Health personnel: Dentists (number),"13,834",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
36,Australia,2015,Health personnel: Dentists (per 1000 population),0.6,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
36,Australia,2015,Health personnel: Pharmacists (number),"20,297",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
36,Australia,2015,Health personnel: Pharmacists (per 1000 population),0.9,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
36,Australia,2015,Health personnel: Nurses and midwives (number),"296,701",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
