T04,International migrants and refugees,,,,,
15,Northern Africa,2017,International migrant stock: Both sexes (number),2410056.0000,Excluding Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
15,Northern Africa,2017,International migrant stock: Both sexes (% total population),1.0317,Excluding Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
15,Northern Africa,2017,International migrant stock: Male (% total Population),1.1929,Excluding Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
15,Northern Africa,2017,International migrant stock: Female (% total Population),0.8690,Excluding Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
202,Sub-Saharan Africa,2005,International migrant stock: Both sexes (number),14272361.0000,Including Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
202,Sub-Saharan Africa,2005,International migrant stock: Both sexes (% total population),1.8588,Including Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
202,Sub-Saharan Africa,2005,International migrant stock: Male (% total Population),2.0024,Including Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
202,Sub-Saharan Africa,2005,International migrant stock: Female (% total Population),1.7166,Including Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
202,Sub-Saharan Africa,2010,International migrant stock: Both sexes (number),15691999.0000,Including Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
202,Sub-Saharan Africa,2010,International migrant stock: Both sexes (% total population),1.7842,Including Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
202,Sub-Saharan Africa,2010,International migrant stock: Male (% total Population),1.8998,Including Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
202,Sub-Saharan Africa,2010,International migrant stock: Female (% total Population),1.6695,Including Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
202,Sub-Saharan Africa,2015,International migrant stock: Both sexes (number),21705234.0000,Including Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
202,Sub-Saharan Africa,2015,International migrant stock: Both sexes (% total population),2.1535,Including Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
202,Sub-Saharan Africa,2015,International migrant stock: Male (% total Population),2.2615,Including Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
202,Sub-Saharan Africa,2015,International migrant stock: Female (% total Population),2.0463,Including Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
202,Sub-Saharan Africa,2017,International migrant stock: Both sexes (number),22975988.0000,Including Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
202,Sub-Saharan Africa,2017,International migrant stock: Both sexes (% total population),2.1610,Including Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
202,Sub-Saharan Africa,2017,International migrant stock: Male (% total Population),2.2631,Including Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
202,Sub-Saharan Africa,2017,International migrant stock: Female (% total Population),2.0595,Including Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
14,Eastern Africa,2005,International migrant stock: Both sexes (number),4745792.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
14,Eastern Africa,2005,International migrant stock: Both sexes (% total population),1.5788,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
14,Eastern Africa,2005,International migrant stock: Male (% total Population),1.6996,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
14,Eastern Africa,2005,International migrant stock: Female (% total Population),1.4603,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
14,Eastern Africa,2010,International migrant stock: Both sexes (number),4657063.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
14,Eastern Africa,2010,International migrant stock: Both sexes (% total population),1.3421,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
14,Eastern Africa,2010,International migrant stock: Male (% total Population),1.3761,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
14,Eastern Africa,2010,International migrant stock: Female (% total Population),1.3087,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
14,Eastern Africa,2015,International migrant stock: Both sexes (number),6920965.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
14,Eastern Africa,2015,International migrant stock: Both sexes (% total population),1.7326,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
14,Eastern Africa,2015,International migrant stock: Male (% total Population),1.7517,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
14,Eastern Africa,2015,International migrant stock: Female (% total Population),1.7138,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
14,Eastern Africa,2017,International migrant stock: Both sexes (number),7591799.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
14,Eastern Africa,2017,International migrant stock: Both sexes (% total population),1.7989,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
14,Eastern Africa,2017,International migrant stock: Male (% total Population),1.8096,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
14,Eastern Africa,2017,International migrant stock: Female (% total Population),1.7883,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
17,Middle Africa,2005,International migrant stock: Both sexes (number),1928828.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
17,Middle Africa,2005,International migrant stock: Both sexes (% total population),1.7229,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
17,Middle Africa,2005,International migrant stock: Male (% total Population),1.7708,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
17,Middle Africa,2005,International migrant stock: Female (% total Population),1.6756,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
17,Middle Africa,2010,International migrant stock: Both sexes (number),2139979.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
17,Middle Africa,2010,International migrant stock: Both sexes (% total population),1.6292,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
17,Middle Africa,2010,International migrant stock: Male (% total Population),1.6716,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
17,Middle Africa,2010,International migrant stock: Female (% total Population),1.5873,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
17,Middle Africa,2015,International migrant stock: Both sexes (number),3436978.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
17,Middle Africa,2015,International migrant stock: Both sexes (% total population),2.2355,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
17,Middle Africa,2015,International migrant stock: Male (% total Population),2.3111,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
17,Middle Africa,2015,International migrant stock: Female (% total Population),2.1606,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
17,Middle Africa,2017,International migrant stock: Both sexes (number),3539697.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
17,Middle Africa,2017,International migrant stock: Both sexes (% total population),2.1650,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
17,Middle Africa,2017,International migrant stock: Male (% total Population),2.2408,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
17,Middle Africa,2017,International migrant stock: Female (% total Population),2.0897,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
18,Southern Africa,2005,International migrant stock: Both sexes (number),1439426.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
18,Southern Africa,2005,International migrant stock: Both sexes (% total population),2.5813,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
18,Southern Africa,2005,International migrant stock: Male (% total Population),3.0615,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
18,Southern Africa,2005,International migrant stock: Female (% total Population),2.1193,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
18,Southern Africa,2010,International migrant stock: Both sexes (number),2357093.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
18,Southern Africa,2010,International migrant stock: Both sexes (% total population),3.9940,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
18,Southern Africa,2010,International migrant stock: Male (% total Population),4.6882,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
18,Southern Africa,2010,International migrant stock: Female (% total Population),3.3256,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
18,Southern Africa,2015,International migrant stock: Both sexes (number),4112793.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
18,Southern Africa,2015,International migrant stock: Both sexes (% total population),6.4850,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
18,Southern Africa,2015,International migrant stock: Male (% total Population),7.3353,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
18,Southern Africa,2015,International migrant stock: Female (% total Population),5.6662,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
18,Southern Africa,2017,International migrant stock: Both sexes (number),4338205.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
18,Southern Africa,2017,International migrant stock: Both sexes (% total population),6.6595,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
18,Southern Africa,2017,International migrant stock: Male (% total Population),7.5359,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
18,Southern Africa,2017,International migrant stock: Female (% total Population),5.8160,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
11,Western Africa,2005,International migrant stock: Both sexes (number),5616321.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
11,Western Africa,2005,International migrant stock: Both sexes (% total population),2.0909,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
11,Western Africa,2005,International migrant stock: Male (% total Population),2.2427,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
11,Western Africa,2005,International migrant stock: Female (% total Population),1.9379,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
11,Western Africa,2010,International migrant stock: Both sexes (number),5959501.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
11,Western Africa,2010,International migrant stock: Both sexes (% total population),1.9363,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
11,Western Africa,2010,International migrant stock: Male (% total Population),2.0765,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
11,Western Africa,2010,International migrant stock: Female (% total Population),1.7948,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
11,Western Africa,2015,International migrant stock: Both sexes (number),6610620.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
11,Western Africa,2015,International migrant stock: Both sexes (% total population),1.8747,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
11,Western Africa,2015,International migrant stock: Male (% total Population),1.9889,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
11,Western Africa,2015,International migrant stock: Female (% total Population),1.7593,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
11,Western Africa,2017,International migrant stock: Both sexes (number),6770466.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
11,Western Africa,2017,International migrant stock: Both sexes (% total population),1.8201,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
11,Western Africa,2017,International migrant stock: Male (% total Population),1.9282,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
11,Western Africa,2017,International migrant stock: Female (% total Population),1.7105,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
21,Northern America,2005,International migrant stock: Both sexes (number),45363387.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
21,Northern America,2005,International migrant stock: Both sexes (% total population),13.8495,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
21,Northern America,2005,International migrant stock: Male (% total Population),13.9476,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
21,Northern America,2005,International migrant stock: Female (% total Population),13.7645,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
21,Northern America,2010,International migrant stock: Both sexes (number),50970996.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
21,Northern America,2010,International migrant stock: Both sexes (% total population),14.8631,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
21,Northern America,2010,International migrant stock: Male (% total Population),14.7253,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
21,Northern America,2010,International migrant stock: Female (% total Population),15.0086,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
21,Northern America,2015,International migrant stock: Both sexes (number),55766224.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
21,Northern America,2015,International migrant stock: Both sexes (% total population),15.6645,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
21,Northern America,2015,International migrant stock: Male (% total Population),15.3595,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
21,Northern America,2015,International migrant stock: Female (% total Population),15.9742,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
21,Northern America,2015,Total refugees and people in refugee-like situations (number),416385.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
21,Northern America,2015,"Asylum seekers, including pending cases (number)",238989.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
21,Northern America,2015,Total population of concern to UNHCR (number),655374.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
21,Northern America,2017,International migrant stock: Both sexes (number),57664154.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
21,Northern America,2017,International migrant stock: Both sexes (% total population),15.9643,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
21,Northern America,2017,International migrant stock: Male (% total Population),15.6453,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
21,Northern America,2017,International migrant stock: Female (% total Population),16.2878,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
21,Northern America,2017,Total refugees and people in refugee-like situations (number),380675.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
21,Northern America,2017,"Asylum seekers, including pending cases (number)",725314.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
21,Northern America,2017,Total population of concern to UNHCR (number),1105989.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
21,Northern America,2018,Total refugees and people in refugee-like situations (number),409776.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
21,Northern America,2018,"Asylum seekers, including pending cases (number)",721060.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
21,Northern America,2018,Other of concern to UNHCR (number),3790.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
21,Northern America,2018,Total population of concern to UNHCR (number),1134626.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
419,Latin America & the Caribbean,2005,International migrant stock: Both sexes (number),7237476.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
