X26,Water supply and sanitation services,,,,,
202,Sub-Saharan Africa,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",43.6911,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
202,Sub-Saharan Africa,2005,"Safely managed drinking water sources, rural (Proportion of population with access)",7.4167,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
202,Sub-Saharan Africa,2005,"Safely managed drinking water sources, total (Proportion of population with access)",19.6415,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
202,Sub-Saharan Africa,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",18.3933,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
202,Sub-Saharan Africa,2005,"Safely managed sanitation facilities, rural (Proportion of population with access)",14.8936,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
202,Sub-Saharan Africa,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",16.0730,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
202,Sub-Saharan Africa,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",46.0458,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
202,Sub-Saharan Africa,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",8.9419,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
202,Sub-Saharan Africa,2010,"Safely managed drinking water sources, total (Proportion of population with access)",22.3545,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
202,Sub-Saharan Africa,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",19.0923,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
202,Sub-Saharan Africa,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",16.1067,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
202,Sub-Saharan Africa,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",17.1860,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
202,Sub-Saharan Africa,2017,"Safely managed drinking water sources, urban (Proportion of population with access)",50.0432,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
202,Sub-Saharan Africa,2017,"Safely managed drinking water sources, rural (Proportion of population with access)",11.6141,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
202,Sub-Saharan Africa,2017,"Safely managed drinking water sources, total (Proportion of population with access)",26.9232,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
202,Sub-Saharan Africa,2017,"Safely managed sanitation facilities, urban (Proportion of population with access)",19.8465,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
202,Sub-Saharan Africa,2017,"Safely managed sanitation facilities, rural (Proportion of population with access)",17.5240,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
202,Sub-Saharan Africa,2017,"Safely managed sanitation facilities, total (Proportion of population with access)",18.4492,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
14,Eastern Africa,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",40.5945,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
14,Eastern Africa,2005,"Safely managed drinking water sources, rural (Proportion of population with access)",4.2120,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
14,Eastern Africa,2005,"Safely managed drinking water sources, total (Proportion of population with access)",12.4040,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
14,Eastern Africa,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",45.5973,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
14,Eastern Africa,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",5.8028,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
14,Eastern Africa,2010,"Safely managed drinking water sources, total (Proportion of population with access)",15.4942,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
14,Eastern Africa,2017,"Safely managed drinking water sources, urban (Proportion of population with access)",53.1918,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
14,Eastern Africa,2017,"Safely managed drinking water sources, rural (Proportion of population with access)",8.9412,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
14,Eastern Africa,2017,"Safely managed drinking water sources, total (Proportion of population with access)",21.1074,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
18,Southern Africa,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",89.2549,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
18,Southern Africa,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",87.1974,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
18,Southern Africa,2017,"Safely managed drinking water sources, urban (Proportion of population with access)",81.8727,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
11,Western Africa,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",33.2166,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
11,Western Africa,2005,"Safely managed drinking water sources, rural (Proportion of population with access)",10.5033,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
11,Western Africa,2005,"Safely managed drinking water sources, total (Proportion of population with access)",19.0856,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
11,Western Africa,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",20.5140,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
11,Western Africa,2005,"Safely managed sanitation facilities, rural (Proportion of population with access)",15.6891,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
11,Western Africa,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",17.5122,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
11,Western Africa,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",33.3008,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
11,Western Africa,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",12.4214,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
11,Western Africa,2010,"Safely managed drinking water sources, total (Proportion of population with access)",21.0113,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
11,Western Africa,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",21.1518,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
11,Western Africa,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",16.2750,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
11,Western Africa,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",18.2814,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
11,Western Africa,2017,"Safely managed drinking water sources, urban (Proportion of population with access)",33.5556,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
11,Western Africa,2017,"Safely managed drinking water sources, rural (Proportion of population with access)",15.4143,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
11,Western Africa,2017,"Safely managed drinking water sources, total (Proportion of population with access)",23.7133,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
11,Western Africa,2017,"Safely managed sanitation facilities, urban (Proportion of population with access)",21.9493,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
11,Western Africa,2017,"Safely managed sanitation facilities, rural (Proportion of population with access)",17.0462,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
11,Western Africa,2017,"Safely managed sanitation facilities, total (Proportion of population with access)",19.2892,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
21,Northern America,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",99.6169,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
21,Northern America,2005,"Safely managed drinking water sources, total (Proportion of population with access)",98.9279,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
21,Northern America,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",89.5752,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
21,Northern America,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",78.1297,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
21,Northern America,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",99.6323,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
21,Northern America,2010,"Safely managed drinking water sources, total (Proportion of population with access)",98.9755,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
21,Northern America,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",90.0586,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
21,Northern America,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",79.0171,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
21,Northern America,2017,"Safely managed drinking water sources, urban (Proportion of population with access)",99.6453,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
21,Northern America,2017,"Safely managed drinking water sources, total (Proportion of population with access)",99.0334,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
21,Northern America,2017,"Safely managed sanitation facilities, urban (Proportion of population with access)",90.1955,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
21,Northern America,2017,"Safely managed sanitation facilities, total (Proportion of population with access)",79.7931,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
419,Latin America & the Caribbean,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",82.3951,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
419,Latin America & the Caribbean,2005,"Safely managed drinking water sources, total (Proportion of population with access)",57.4593,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
419,Latin America & the Caribbean,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",17.9728,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
419,Latin America & the Caribbean,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",14.5948,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
419,Latin America & the Caribbean,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",82.3174,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
419,Latin America & the Caribbean,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",39.0266,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
419,Latin America & the Caribbean,2010,"Safely managed drinking water sources, total (Proportion of population with access)",73.0458,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
419,Latin America & the Caribbean,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",25.0353,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
419,Latin America & the Caribbean,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",20.7012,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
419,Latin America & the Caribbean,2017,"Safely managed drinking water sources, urban (Proportion of population with access)",82.2623,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
419,Latin America & the Caribbean,2017,"Safely managed drinking water sources, rural (Proportion of population with access)",41.6588,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
419,Latin America & the Caribbean,2017,"Safely managed drinking water sources, total (Proportion of population with access)",74.3162,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
419,Latin America & the Caribbean,2017,"Safely managed sanitation facilities, urban (Proportion of population with access)",37.0303,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
419,Latin America & the Caribbean,2017,"Safely managed sanitation facilities, total (Proportion of population with access)",31.3188,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
29,Caribbean,2000,"Safely managed sanitation facilities, urban (Proportion of population with access)",12.6442,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
13,Central America,2005,"Safely managed drinking water sources, rural (Proportion of population with access)",37.2525,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
13,Central America,2005,"Safely managed drinking water sources, total (Proportion of population with access)",43.8243,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
13,Central America,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",19.5171,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
13,Central America,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",15.0112,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
13,Central America,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",39.0417,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
13,Central America,2010,"Safely managed drinking water sources, total (Proportion of population with access)",45.1314,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
13,Central America,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",29.2013,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
13,Central America,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",23.0064,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
13,Central America,2017,"Safely managed drinking water sources, rural (Proportion of population with access)",41.5882,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
13,Central America,2017,"Safely managed drinking water sources, total (Proportion of population with access)",46.8034,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
13,Central America,2017,"Safely managed sanitation facilities, urban (Proportion of population with access)",44.0364,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
